Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,4.6,7.63,424,3,6,Less than .01,8,79,,,,12,Less than 1,136,39,24,Less than 1,Less than 1,276,45,40,17,28,260,150,12,Less than 0.01,Not analysed,Less than 0.01,6,Less than 0.01,17.5,0.73,,,,,,,,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",4,7.4,578,4,0.3,Not Analysed,Less than 2,68,Not analysed,Not analysed,Not analysed,6,Less than 1,160,84,18,Less than 1,Not Analysed,175,44,15.79,28,60,378,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,0.32,42.24,1.97,,,,,,,,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Less than  0.1,7.38,1498,12,14.3,Not Analysed,26,430,Not analysed,Not analysed,Not analysed,16,Less than 1,280,244,103,2,Not Analysed,350,88,31.59,89,168,945,Not aNot analysedlysed,18,0.47,Not analysed,0.26,4,0.82,50.59,3.9,,,,,,,,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Less than  0.1,7.64,1430,28,5.39,Not Analysed,20,350,Not analysed,Not analysed,Not analysed,10,Less than 1,325,228,98,3,Not Analysed,380,112,24.3,68,154,910,Not aNot analysedlysed,12,0.48,Not analysed,0.14,4,0.94,46.42,3.43,,,,,,,,
1788,Lakes & Tanks ,Saroornagar Lake,Less than  0.1,7.24,1380,36,7.82,Not Analysed,32,350,Not analysed,Not analysed,Not analysed,12,Less than 1,390,162,144,4.8,Not Analysed,430,136,21.87,70,118,869,Not aNot analysedlysed,14,1.98,Not analysed,0.32,6,0.89,36.89,2.47,,,,,,,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",Less than  0.1,7.71,1247,21,10.98,Not Analysed,23,350,Not analysed,Not analysed,Not analysed,12,Less than 1,310,142,113,4.8,Not Analysed,380,98,32.8,94,104,790,Not aNot analysedlysed,14,0.84,Not analysed,0.34,4,0.76,36.89,2.31,,,,,,,,
1464,Lakes & Tanks ,Bibinagar Tank,7.1,6.81,715,2.8,9,0.32,4,63,4.6,0.4,Not analysed,13,16,112,96,24,4.6,2.8,162,32,20,17,39,407,293,23,Not analysed,0.26,Less than 0.01,4,0.37,33.48,1.33,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
3068,Lakes & Tanks ,Ramappa lake,6.7,8.12,270,2,2,Not Analysed,Less than 2,18,Not analysed,Not analysed,Not analysed,4,10,85,28,6,Less than 1,Not Analysed,90,20,9.72,10,20,180,Not aNot analysedlysed,14,0.03,Not analysed,Less than 0.01,2,Less than 0.01,31.84,0.91,,,,,,,,
1447,Lakes & Tanks ,Dharmasagar tank,5.2,7.31,350,3,0.68,Not Analysed,Less than 2,22,Not analysed,Not analysed,Not analysed,4,Less than 1,125,24,12,Less than 1,Not Analysed,145,34,14.58,14,13,214,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,3,0.54,15.89,0.47,,,,,,,,
2346,Lakes & Tanks ,Bhadrakali tank,6,8.24,489,3,0.47,Not Analysed,Less than 2,350,Not analysed,Not analysed,Not analysed,6,10,155,50,10,Less than 1,Not Analysed,170,36,19.44,10,30,280,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,27.31,1.0,,,,,,,,
3084,Lakes & Tanks ,"Waddepally Tank, Kazipet",4.8,8.02,696,4,0.78,Not Analysed,Less than 2,32,Not analysed,Not analysed,Not analysed,8,Less than 1,195,80,36,Less than 1,Not Analysed,220,24,38.88,32,56,438,Not aNot analysedlysed,8,0.16,Not analysed,Less than 0.01,2,0.61,35.15,1.63,,,,,,,,
3085,Lakes & Tanks ,Chinnawaddepally tank,Less than  0.1,7.36,1730,28,2.2,Not Analysed,32,430,Not analysed,Not analysed,Not analysed,20,Less than 1,435,286,172,6.8,Not Analysed,480,116,46.17,86,178,1160,Not aNot analysedlysed,22,0.96,Not analysed,0.36,4,0.84,44.25,3.52,,,,,,,,
2343,Lakes & Tanks ,Premajipet tank,Less than  0.1,7.01,3460,39,10.84,Not Analysed,24,350,Not analysed,Not analysed,Not analysed,12,Less than 1,390,710,247,7.9,Not Analysed,560,168,34.02,280,514,2320,Not aNot analysedlysed,32,2.96,Not analysed,0.34,8,0.84,66.14,9.43,,,,,,,,
2345,Lakes & Tanks ,Sai Cheruvu,Less than  0.1,7.42,7510,138,10.86,Not Analysed,28,430,Not analysed,Not analysed,Not analysed,28,Less than 1,780,1512,464,8.6,Not Analysed,820,184,87.48,648,1234,4730,Not aNot analysedlysed,34,0.84,Not analysed,0.32,68,1.48,74.64,18.68,,,,,,,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",2.8,7.3,879,6,2.1,Not Analysed,11,220,Not analysed,Not analysed,Not analysed,6,Less than 1,240,98,38,Less than 1,Not Analysed,282,54.4,35.48,68,76,560,Not aNot analysedlysed,17,0.24,Not analysed,Less than 0.01,4,0.38,36.38,1.96,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",2.4,7.48,981,8,2.71,Not Analysed,14,320,Not analysed,Not analysed,Not analysed,8,Less than 1,240,126,63,Less than 1,Not Analysed,285,48,40.09,60,90,620,Not aNot analysedlysed,12,0.5,Not analysed,Less than 0.01,3,0.52,40.21,2.31,,,,,,,,
4228,Lakes & Tanks ,"Ibrahim Cheruvu, Rajendra Nagar",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,6.5,6.91,1160,2.5,5,0.41,Less than 2,43,5,0.8,Not analysed,14,16,136,124,11,3.4,2.1,205,36,28,17,43,649,471,19,Not analysed,0.45,0.03,5,0.26,30.49,1.3,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,7.16
4231,Lakes & Tanks ,"Rayam Cheruvu,",6.8,7.24,434,2.2,2,0.46,Less than 2,39, -, -,Not analysed,21,4,50,40,15,2.9,1.8,94,18,12,5,15,238,173,18,Not analysed,0.19,Less than 0.01,3,0.21,24.81,0.67,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
