Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
3074,Lakes & Tanks ,Banjara Lake,0.3,7.78,1144,12,1.51,,22,280,Less than 1.8,,,,6.82,5,230,202,139,4,3.2,0.1,285,64,30.38,84,162,738,,23,1.49,,0.5,8,0.99,54.26,4.16
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam cheruvu),"Letter was addressed to CPCB dated:26.10.2018 to relocate with Pedda Cheruvu, Gajularamaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,6.1,7.12,891,4,3,0.15,4,43,1.8,,,,7,12,108,142,36,9,,,235,56,23,8,19,543,398,11,,0.15,0.5,4,0.21,14.63,0.54
4237,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",0.3,7.13,1222,6,1.12,,23,430,Less than 1.8,,,,8.24,5,375,130,78,1.5,0.4,Less than 0.01,390,78,47.38,68,108,758,,12,2.84,,0.5,4,1.1,37.13,2.37
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",1.3,6.78,1081,8,4.75,,4,120,Less than 1.8,,,,10,5,130,148,96,1.5,0.4,Less than 0.01,265,60,27.95,95,127,657,,10,0.22,,0.5,9,1.03,49.83,3.38
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",0.3,7.25,1452,9,6.12,,12,210,Less than 1.8,,,,10.2,5,345,160,101,1.5,0.4,Less than 0.01,395,88,42.52,102,114,900,,16,0.3,,0.5,8,1,37.82,2.49
4669,Lakes & Tanks ,"Pedd Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",0.3,7.09,1122,6,10.62,,17,240,Less than 1.8,,,,9.6,5,240,160,92,1.5,0.4,Less than 0.01,280,66,27.95,99,142,706,,84,0.26,,0.5,7,1.09,51.53,3.68
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Sample not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",4.2,8.4,887,4,0.96,,4,380,Less than 1.8,,,,12.8,5,210,106,36,1.5,0.4,Less than 0.01,240,62,20.66,43,86,520,,17,0.42,,0.5,6,0.58,42.91,2.41
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),0.3,7.24,835,6,1.28,,6,280,Less than 1.8,,,,2.6,5,196,83,72,1.5,0.4,Less than 0.01,220,48,24.3,43,92,510,,10,0.2,,0.5,8,0.58,46.35,2.69
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",0.3,7.71,729,4,1.16,,2,170,Less than 1.8,,,,8.02,5,165,86,58,1.5,0.4,Less than 0.01,140,30,15.79,39,76,441,,10,0.62,,0.5,6,0.96,52.66,2.78
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",0.3,7.08,1421,8,2.96,,12,280,Less than 1.8,,,,18,5,330,158,98,1.5,0.4,Less than 0.01,385,72,49.81,81,128,881,,36,0.28,,0.5,14,1.2,40.69,2.83
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",2.1,7.14,1267,7,2.84,,8,170,Less than 1.8,,,,8.5,5,240,122,95,1.5,0.4,Less than 0.01,305,60,37.66,93,111,797,,10,0.33,,0.5,16,1.02,42.43,2.75
4678,Lakes & Tanks ,"Sample collected from Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",0.3,7.7,1492,8,0.78,,11,430,Less than 1.8,,,,14.2,5,275,212,98,4,1,0.03,290,58,35.23,88,172,904,,16,1.02,,0.5,8,0.97,55.31,4.38
4679,Lakes & Tanks ,HUDA Park Lake,2.6,7.03,2074,10,2.38,,10,430,Less than 1.8,,,,12.4,5,510,296,118,10,1.8,0.01,560,118,64.39,182,256,1244,,18,3.72,,0.5,10,1.08,49.13,4.69
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",5.5,7.52,456,2.8,1.58,,Less than 1.8,33,Less than 1.8,,,,3.2,5,140,40,26,1.5,0.4,Less than 0.01,180,38,20.66,23,32,262,,10,0.2,,0.5,3,0.26,27.34,1.03
4684,Lakes & Tanks ,Campus Lake Icrisat,6,7.26,158,2.2,2.4,0.16,14,170,4,,,,4,8,44,23,20,3.4,,Less than 0.01,49.68,10,6,5,5,90,81,10,,0.08,0.5,1,0.2,17.49,0.31
4685,Lakes & Tanks ,Surisigal Lake Icrisat,6.4,7.13,242,2.4,2,0.16,31,430,9,,,,4,8,52,26,22,3.9,,Less than 0.01,64,12,8,5,9,138,95,10,,0.09,0.5,2,0.2,22.89,0.49
4686,Lakes & Tanks ,Icrisat Lake,6.4,6.55,294,3,1.4,0.09,9.1,130,1.8,,,,3,8,48,38,26,4.5,,Less than 0.01,72,17,9,5,8,182,124,10,,0.11,0.5,1,0.2,17.63,0.39
