Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.2,8.2,420,3,0.2,,Less than 1.8,58,,,,10,10,130,50,16,4,,155,32,18.22,22,32,260,,12,0.58,,0.09,2,0.42,30.5,1.11
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.2,7.98,387,3,0.38,,Less than 1.8,20,,,,8.32,BDL,140,32,14,4,,150,28,19.44,17,24,227,,8,0.01,,0.09,3,0.5,25.2,0.85
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.6,7.52,380,3,0.55,,Less than 1.8,24,,,,8,BDL,130,32,18,4,,135,32,13.37,18,26,220,,10,0.03,,0.09,2,0.52,29.02,0.97
2369,River Godavari,River Godavari at Burgampahad,5.6,7.82,480,3,0.31,,Less than 1.8,25,,,,10,BDL,140,48,16,4,,140,34,13.37,26,44,316,,10,0.06,,0.09,2,0.33,40.04,1.61
4256,River Godavari,"Lower Manair Dam, Karimnagar",4.8,8.3,440,3,1.92,,Less than 1.8,32,,,,10,15,130,50,16,4,,145,34,14.58,22,36,260,,6,0.07,,0.09,2,0.51,34.54,1.3
1158,River Godavari,River Maneru at Somanpally,5.2,7.9,610,3,0.29,,Less than 1.8,32,,,,10,BDL,180,66,14,4,,190,36.8,23.81,30,52,378,,8,0.2,,0.09,2,0.8,36.84,1.63
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",Sample was not collected as the RIVER was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5.2,7.82,520,3,0.9,,Less than 1.8,48,,,,20,BDL,150,64,14,4,,160,34,18.22,30,52,320,,10,0.26,,0.09,3,0.78,40.69,1.78
1157,River Godavari,River Manjeera at Raipally,6.8,7.12,515,2.8,6,0.25,Less than 1.8,25,,,,20,28,100,48,12,4,0.02,124,26,14,20,22,320,230,12,,0.5,0.09,4,0.4,27.13,0.86
4258,River Godavari,"Singoor Dam Reservoir,",7.2,7.48,423,1.7,10,0.27,Less than 1.8,21,,,,25,12,94,40,10,4,0.02,124,30,12,22,18,252,190,15,,0.4,0.09,4,0.42,23.12,0.7
1781,River Godavari,Manjeera at Ganapathi sugars,6.4,7.36,490,2.6,13,0.29,Less than 1.8,63,,,,24,16,96,56,10,4,0.02,140,26,18,26,20,302,210,20,,0.54,0.09,6,0.35,22.74,0.73
2374,River Godavari,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.3,7.24,1100,2.7,11,0.31,Less than 1.8,41,,,,32,12,240,120,16,4,0.16,248,58,25,32,72,674,480,22,,0.49,0.09,13,0.36,37.06,1.98
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.5,7.08,1080,2.9,12,0.35,Less than 1.8,38,,,,40,20,220,136,20,5.8,0.01,242,54,26,38,78,670,495,45,,0.5,0.09,15,0.39,39.24,2.17
4226,River Godavari,River Manjeera at Yedu Payala Temple,7.4,7.03,861,2.6,9,0.33,Less than 1.8,17,,,,7,24,130,72,10,4,0.01,164,42,14,38,36,534,378,26,,0.32,0.09,9,0.4,30.92,1.22
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,4.8,7.82,548,6,1.9,,Less than 1.8,26,,,,8,BDL,180,52,12,4,,190,58,10.94,30,42,310,,8,0.09,,0.09,3,0.49,31.96,1.32
2373,River Godavari,Kunavaram at Sabari,6,7.56,95,2,0,,Less than 1.8,12,,,,2.31,BDL,28,12,6,4,,35,8,3.65,5,7,58,,6,0,,0.09,1,0.25,29.44,0.51
4250,River Godavari,"Palair Reservoir, Khammam",6,8.21,457,3,0.33,,Less than 1.8,21,,,,6,BDL,135,52,12,4,,160,34,18.22,38,40,280,,8,0.07,,0.09,2,0.28,34.72,1.37
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",4,7.48,1094,6,2.53,,10,120,,,,10,BDL,295,120,48,4,,305,62,36.45,70,106,690,,10,0.97,,0.22,4,0.99,42.48,2.63
