Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD,TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
3075,Lakes & Tanks ,Rangadhamuni cheruvu,3.8,7.5,876,8,1.52,,Less than 1.8,140,Less than 1.8,,,,9.2,5,205,88,33,1.5,0.4,Less than 0.01,225,48,25.52,60,75,511,,10,0.2,,0.5,4,1.1,41.33,2.17,,ND,BDL,BDL,ND,BDL,BDL,BDL
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",2.9,7.81,1184,10,1.87,,34,350,13,,,,13.1,5,175,216,123,1.5,0.4,Less than 0.01,195,42,21.87,91,169,781,,10,0.36,,0.5,12,0.6,63.46,5.25,,BDL,BDL,BDL,ND,BDL,BDL,BDL
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",3.7,7.18,1155,8,2.42,,27,220,6,,,,12,5,230,206,109,1.5,0.4,Less than 0.01,245,46,31.59,79,157,780,,22,1.04,,0.5,12,1.6,56.57,4.35,,BDL,BDL,BDL,ND,BDL,BDL,BDL
2357,Lakes & Tanks ,Durgam cheruvu,3.2,7.54,860,8,1.88,,2,140,Less than 1.8,,,,13.2,5,120,180,93,1.5,0.4,Less than 0.01,155,34,17.01,69,131,580,,10,0.83,,0.5,10,0.96,62.8,4.56,,ND,BDL,BDL,ND,BDL,BDL,BDL
2344,Lakes & Tanks ,Nalla cheruvu,2.4,7.68,1620,12,3.41,,5,110,Less than 1.8,,,,19.2,5,325,238,125,2,0.9,0.07,331,70,38,181,219,1020,,10,1.03,,0.5,13,1,57.63,5.22,,ND,BDL,BDL,ND,BDL,BDL,BDL
2359,Lakes & Tanks ,Pedda cheruvu,0.3,7.13,1458,12,2.46,,34,210,2,,,,7.8,5,220,182,133,1.5,0.4,Less than 0.01,333,74,36,54,176,917,,17,0.84,,0.5,12,0.86,52.2,4.18,,BDL,BDL,BDL,ND,ND,BDL,0.06
2342,Lakes & Tanks ,Noor Md. Kunta,0.3,7.51,1345,12,6.27,,8,110,Less than 1.8,,,,13.2,5,280,226,105,1.5,0.4,Less than 0.01,307,67,34,144,182,927,,22,1.22,,0.5,4,0.88,55.73,4.5,,ND,BDL,BDL,ND,BDL,BDL,0.07
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",3.3,7.09,1152,12,2.89,,27,220,Less than 1.8,,,,7,5,155,182,119,1.5,0.4,Less than 0.01,180,54,10.94,84,140,675,,13,0.98,,0.5,12,0.2,60.83,4.53,,ND,BDL,BDL,ND,BDL,BDL,0.06
3074,Lakes & Tanks ,Banjara Lake,0.3,7.01,1095,10,1.48,,47,430,22,,,,9.2,5,220,172,117,1.5,0.4,Less than 0.01,245,46,31.59,73,129,748,,42,1.04,,0.5,10,1.03,51.94,3.57,,ND,BDL,BDL,ND,BDL,BDL,0.2
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam cheruvu),"Letter was addressed to CPCB dated:26.10.2018 to relocate with Pedda Cheruvu, Gajularamaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,6.4,7.31,1265,6,6,0.24,6.1,47,Less than 1.8,5.4,0.71,,9,16,192,226,56,11.2,,,374,84,40,9,51,721,507,12,,0.13,0.5,4,0.19,22.5,1.14,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14
4237,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Sample RO Not Submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
