Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD,TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3086,OTHER AREA LAKES,Saki Tank,7.2,7.94,1246,6,27,0.62,NIL,22,  -,  -,35,28,215,170,30,32,0.7,300,56,39,52,84,745,542,28,0.72,0.62,14,0.8,36.3,2.1
3068,OTHER AREA LAKES,Ramappa lake,5.9,7.26,240.6,3,0,,NIL,86,,,6,BDL,92,20,12,BDL,,95,24,8.5,8,15,153,,4,0.31,BDL,2,0.21,24.97,0.67
1447,OTHER AREA LAKES,Dharmasagar tank,5.7,8.41,279,2,0.58,,13,26,,,8,10,85,26,12,BDL,,100,24,9.72,12,15,181,,5,0.03,0.01,2,0.34,24.03,0.65
2346,OTHER AREA LAKES,Bhadrakali tank,5.73,8.4,540,2,1.4,,NIL,52,,,9,BDL,140,62,10,BDL,,170,34,20.66,22,38,340,,10,0.11,BDL,2,0.75,32.24,1.26
3084,OTHER AREA LAKES,"Waddepally tank, Kazipet",5.5,7.91,664,4,0.61,,NIL,30,,,3.51,BDL,155,78,22,BDL,,165,38,17.01,44,64,425,,8,0.02,0.01,6,0.27,44.49,2.16
3085,OTHER AREA LAKES,Chinnawaddepally tank,3.7,8.52,1541,18,1.3,,80,314,,,35,25,120,332,148,5.6,,255,43,28,138,220,970,,54,0.19,0.02,9,1.54,66.99,6.39
2343,OTHER AREA LAKES,Premajipet tank,Less than 0.1,7.59,4652,36,9.8,,100,620,,,8.12,BDL,315,960,210,6.2,,1390,530,137.29,620,202,3141,,24,3.71,0.1,15,1.7,18.64,2.02
2345,OTHER AREA LAKES,Sai Cheruvu,0.9,8.07,8765,142,2.3,,192,958,,,38.5,BDL,185,2541,521,8.4,,580,138,57.1,685,1584,5204,,65,0.07,0.21,49,0.87,84.21,28.52
4222,OTHER AREA LAKES,"Koneru, Kondagattu temple, Jagitiyal",2.1,7.08,755,6,4.3,,17,47,,,31,BDL,180,98,68,6.84,,220,54,20.66,38,60,476,,21,0.13,0.01,6,0.65,36.31,1.75
4223,OTHER AREA LAKES,"Vemulawada temple Koneru , Karimnagar",1.2,7.16,912,17,4.1,,27,350,,,34.1,BDL,190,130,106,2.8,,245,62,21.87,61,72,509,,38,1.78,0.01,4,0.55,38.38,2.0
4228,OTHER AREA LAKES,"Ibrahim Cheruvu, Rajendra Nagar",Less than 0.1,7.28,1545,32,11.42,,74,380,,,8.42,BDL,410,195,188,4.8,,445,86,55.89,92,161,1028,,21,4.4,0.28,8,1.32,43.31,3.31
4230,OTHER AREA LAKES,"Kistaipally Cheruvu, Kistaipally Village, Jinnaram Mandal, Sangareddy District",6.4,7.38,4120,12,19,0.94,NIL,9,  -,  -,6,22,395,740,62,12,0.8,928,220,92,120,286,2770,1976,20,0.18,1.4,46,1.3,38.52,4.07
4231,OTHER AREA LAKES,"Rayam Cheruvu, Bonthapally Village, Jinnaram Mandal, Sangareddy District",6.5,7.21,1035,5,18,0.52,5,35,  -,  -,3,25,210,112,36,9,0.9,278,52,36,40,54,620,456,24,0.15,0.72,12,0.7,28.44,1.4
4232,OTHER AREA LAKES,"Komati Cheruvu, Siddipet Town, Siddipet District",7.1,7.76,679,5,12,0.8,4,40,  -,  -,3,14,150,62,32,7.9,0.8,198,38,25,22,28,412,310,18,0.17,1.2,5,1.06,22.84,0.86
4235,OTHER AREA LAKES,Lake Kamuni( Shamshabad Lake),Less than 0.1,7.35,1796,16,4.29,,160,480,,,15.31,10,220,351,128,4.4,,420,88,46,118,192,1139,,21,1.2,0.14,8,1.06,49.73,4.11
4233,OTHER AREA LAKES,"Gaddapotharam cheruvu, Gaddapotharam village, Jinnaram mandal, Sangareddy dist",4.2,7.28,4970,20,29,0.42,7,100,  -,  -,6,20,434,1040,110,16,0.7,1350,290,152,148,312,3194,2194,52,0.24,1.48,40,1.56,32.49,3.68
4237,OTHER AREA LAKES,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Less than 0.1,8.56,1698,30,17.29,,60,350,,,18.28,BDL,360,249,210,5.6,,390,83,39,75,184,1070,,20,4.06,0.32,6,1.18,51.43,4.16
4238,OTHER AREA LAKES,"Ameenpur Cheruvu, Ameenpur (V&M), Sangareddy District",7.4,6.87,1077,10,24,0.32,6,79,  -,  -,18,30,182,210,41,35,0.6,336,72,38,30,70,644.64,486,36,0.54,0.62,12,0.6,30.08,1.65
4239,OTHER AREA LAKES,"Mahaboobsagar Tank, Sangareddy (V&M), Sangareddy District",6.9,7.26,1030,10,12,0.38,2,27,  -,  -,20,23,230,155,60,28,0.6,285,68,30,26,72,670,498,35,0.59,0.65,6,0.55,34.08,1.82
4244,OTHER AREA LAKES,"Yerdanoor Tank, Yerdanoor (V), Sangareddy district.",7.1,6.98,2574,7,38,0.28,2,35,  -,  -,22,32,196,260,73,40,0.6,383,84,42,60,106,1700.26,1112,38,0.62,0.56,14,0.8,36.38,2.35
4245,OTHER AREA LAKES,"Mallepally Tank, Mallepally (V), Kondapur (M), Sangareddy district.",6.1,7.59,1690,5.4,32,0.42,4,36,  -,  -,24,25,270,285,63,32,0.6,480,118,45,38,102,1008.51,710,30,0.6,0.69,10,0.67,30.92,2.02
4247,OTHER AREA LAKES,"Mucharla Nagaram cheruvu, Warangal",4.3,8.99,1035,14,1.97,,70,350,,,9,27,185,165,83,2.8,,235,56,23.09,64,114,644,,15,1.05,0.01,5,0.69,50.53,3.23
4248,OTHER AREA LAKES,"Koti Cheruvu, Hanamkonda, Warangal",4.1,7.76,1040,6,5.9,,25,350,,,11,BDL,245,120,37,2.8,,265,58,31,66,98,664,,12,2.85,0.06,9,0.78,42.72,2.57
4229,OTHER AREA LAKES,Neknampur Lake,Less than 0.1,7.22,1816,26,16.6,,112,460,,,24.3,BDL,385,152,182,4.2,,525,112,78.97,96,126,955,,36,5.01,0.36,8,1.63,30.67,2.22
