Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Orthophosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe)
3070, Lakes /Tanks/ Cheruvus,"Fox sagar, Jeedimetla",1.2,7.4,1710,16,2.46,,32,450,,,,16,BDL,405,242,112,3,,425,82,53.46,96,194,1060,,18,0.78,,0.38,3,0.7,49.58,2.89,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.05,Less than 0.005
1780, Lakes /Tanks/ Cheruvus,Gandigudem Tank,5.9,7.47,3460,3.4,14,0.49,Less than 1.8,84,6,0.77, NA,28,20,348,384,26,4,2,518,112,58,84,169,2065,1425,53,,0.52,0.09,32,0.53,39.73,3.2,BDL,Less than 0.003,Less than 0.004,Less than 0.012,BDL,BDL,BDL,3.62
2358, Lakes /Tanks/ Cheruvus,Mallapur tank,0.1,7.42,1890,32,2.8,,70,550,,,,24,BDL,495,234,212,4.2,,540,84,80.19,110,184,1230,,42,3.8,,0.32,8,1.26,42.09,2.43,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.06,0.19
2347, Lakes /Tanks/ Cheruvus,Asani Kunta,0.1,6.87,17650,302,81,0.83,6,430,NIL,NIL, NA,270,32,1220,1690,1490,220,0.53,2156,480,232,153,596,12095,8436,237,,0.81,0.85,182,0.87,35.1,5.6,BDL,0.01,0.63,BDL,BDL,0.33,3.7,12.8
1783, Lakes /Tanks/ Cheruvus,Kistareddypet Tank,5.5,7.15,5630,12,24,0.62,4,150,3,0.4, NA,45,32,510,564,48,8,3.2,908,212,92,131,231,3318,2312,36,,0.07,0.09,65,0.42,33.71,3.3,BDL,BDL,BDL,BDL,BDL,BDL,BDL,8.12
2348, Lakes /Tanks/ Cheruvus,Khazipally Tank,Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302, Lakes /Tanks/ Cheruvus,Rudraram Tank,Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4240, Lakes /Tanks/ Cheruvus,"Muthangi Tank,",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241, Lakes /Tanks/ Cheruvus,"Chitkul Tank,",5.7,7.04,2883,10,12,0.39,Less than 1.8,4.8,5,0.4, NA,27,28,240,238,46,10,2,374,72,47,46,89,1709,1156,22,,0.04,0.09,19,0.42,32.82,2,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4242, Lakes /Tanks/ Cheruvus,"Lakadaram Cheruvu,",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243, Lakes /Tanks/ Cheruvus,"Isnapur Tank,",4.6,7.27,15300,54,61,0.93,4.1,210,2,0.2, NA,65,36,520,1530,280,40,26,1468,312,167,182,525,9180,6421,192,,1.7,0.09,103,0.65,41.5,5.9,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4246, Lakes /Tanks/ Cheruvus,Pashamylaram Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074, Lakes /Tanks/ Cheruvus,Banjara Lake,0.1,7.46,1310,28,3.6,,24,540,,,,26,BDL,335,157,122,4.4,,360,76,41.31,86,132,820,,32,2.26,,0.28,4,0.7,44.01,2.14,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.06,0.02
1789, Lakes /Tanks/ Cheruvus,Himayathsagar lake,5.6,8.16,410,2,0,,Less than 1.8,22,,,,6,BDL,130,42,10,4,,155,26,21.87,20,24,258,,4,0.22,,0.09,2,0.46,24.88,0.59,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.02,0.12
3069, Lakes /Tanks/ Cheruvus,"Shameerpet lake, Shameerpet",4,7.36,760,3,0.32,,Less than 1.8,38,,,,6,BDL,165,132,12,4,,180,36,21.87,40,98,533,,6,0.52,,0.22,3,0.72,53.68,2.25,,Less than 0.003,0.01,0.01,Less than 0.005,Less than 0.012,0.03,0.15
3078, Lakes /Tanks/ Cheruvus,"Pragathinagar cheruvu, Kukatpally",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,-,
2340, Lakes /Tanks/ Cheruvus,Lakshminarayana cheruvu,2.4,7.52,1730,16,3.86,,22,430,,,,24,BDL,385,276,122,1.2,,440,78,59.53,92,194,1138,,24,0.3,,0.1,6,0.42,48.51,2.84,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.02,0.05
1788, Lakes /Tanks/ Cheruvus,Saroornagar Lake,0.1,7.36,1520,32,9.82,,58,540,,,,22,BDL,395,172,196,3.8,,430,72,60.75,106,146,1048,,26,2.02,,0.32,6,1.2,42.03,2.16,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.01,0.1
2359, Lakes /Tanks/ Cheruvus,Pedda cheruvu,0.1,7.42,1620,34,9.2,,86,540,,,,26,BDL,440,186,208,3.2,,470,74,69.25,102,154,1010,,36,1.4,,0.28,6,0.2,41.21,2.18,,Less than 0.003,Less than 0.004,0.2,Less than 0.005,Less than 0.012,0.01,0.05
4234, Lakes /Tanks/ Cheruvus,"Umda sagar lake, Shamshabad",4.2,7.82,1280,10,2.62,,86,540,,,,16,BDL,280,196,98,5.2,,325,66,38.88,86,146,796,,20,0.18,,0.18,6,1.6,48.82,2.49,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.08,0.21
1464, Lakes /Tanks/ Cheruvus,Bibinagar Tank,6.3,7.09,824,5,14,0.52,1.8,120,3,0.4, NA,39,28,114,82,50,10,5.8,180,36,22,19,24,462,323,37,,0.62,0.09,7,0.61,21.66,0.8,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
