Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.2,7.4,568,1,1.6,,Less than 1.8,31,Less than 1.8,,,,6,5,162,53,24,1.5,0.4,,158,84,74,33.6,17.98,26,#,364,,10,0.28,,0.5,#,0.51,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.2,8.1,550,1,2.4,,Less than 1.8,26,Less than 1.8,,,,4,5,144,51,28,1.5,0.4,,140,74,66,29.6,16.04,38,#,332,,10,0.33,,0.5,#,0.55,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.2,7.67,322,1,1.2,,Less than 1.8,27,Less than 1.8,,,,10,5,85,36,28,1.5,0.4,,105,55,50,22,12.15,20,#,200,,12,0.9,,0.5,#,0.72,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.2,8.06,362,1.4,0.32,,Less than 1.8,17,Less than 1.8,,,,3,5,132,20,20,1.5,0.4,,104,62,42,24.8,10.21,12,#,210,,10,0.2,,0.5,#,0.57,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.2,7.92,357,1.4,0.62,,Less than 1.8,20,Less than 1.8,,,,5,5,122,22,24,1.5,0.4,,100,68,32,27.2,7.78,14,#,214,,10,0.2,,0.5,#,0.52,,####
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.53,379,1.6,1.2,,Less than 1.8,34,Less than 1.8,,,,3,5,128,24,16,1.5,0.4,,94,52,58,20.8,10.21,18,#,220,,10,0.36,,0.5,#,0.45,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.31,412,1.6,2.4,,Less than 1.8,47,Less than 1.8,,,,4,5,130,32,16,1.5,0.4,,104,66,38,26.4,9.23,24,#,253,,10,0.38,,0.5,#,0.49,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.1,7.35,422,1.8,4.8,,Less than 1.8,40,Less than 1.8,,,,6,5,132,35,24,1.5,0.4,,150,76,74,30.4,17.98,24,#,255,,10,0.45,,0.5,#,0.49,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6,7.47,452,1.6,1.2,,Less than 1.8,33,Less than 1.8,,,,3,5,124,45,20,1.5,0.4,,122,62,60,24.8,14.58,26,#,284,,10,0.31,,0.5,#,0.49,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Under Maintaince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
