Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,,
1780,Lakes & Tanks,Gandigudem Tank,Sangareddy,5.6,7.29,2056,4.8,54,0.27,5.6,70,4,,,,8,28,450,345,50,8,BDL,BDL,716,165,412,74,304,80,89,1235,745,18,,0.27,BDL,9,0.17,20.9,1.34,,,,
2347,Lakes & Tanks,Asani Kunta,Sangareddy,NIL,6.24,5021,49,95,0.44,10,130,6.1,,,,45,56,780,1080,485,40,12,BDL,1870,400,1000,212,870,200,165,3025,1896,58,,0.4,0.53,74,0.59,15.35,1.57,,,,
1783,Lakes & Tanks,Kistareddypet Tank,Sangareddy,6.5,6.52,1751,3.2,41,0.17,8.1,36,5.5,,,,7,32,340,260,35,6,BDL,BDL,524,120,300,55,224,75,85,1055,650,9,,0.26,BDL,7,0.11,25.56,1.5,,,,
2348,Lakes & Tanks,Khazipally Tank,Sangareddy,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Lakes & Tanks,Madannapet Lake,Warangal Rural,6.2,7.43,369,1,0.3,,Less than 1.8,24,Less than 1.8,,,,15,5,110,42,12,1.5,0.4,#,120,28,70,12.15,50,25,#,226,150,13,0.2,,0.5,#,0.2,#,#,70.0,50.0,10.0,100.0
3068,Lakes & Tanks,Ramappa lake,Mulugu,6.2,8.46,426,1.8,1.66,,Less than 1.8,24,Less than 1.8,,,,6,6,120,38,28,1.5,0.4,#,140,32,80,14.58,60,30,#,268,180,10,0.33,,0.5,#,0.4,#,#,,,,
1447,Lakes & Tanks,Dharmasagar tank,Warangal,6.2,8.28,475,1.2,0.43,,Less than 1.8,34,Less than 1.8,,,,10,10,105,62,8,1.5,0.4,#,115,24,60,13.37,55,38,#,286,190,10,0.2,,0.5,#,0.22,#,#,,,,
2346,Lakes & Tanks,Bhadrakali cheruv,Warangal Urban,3.2,8.05,743,2.6,3.3,,Less than 1.8,48,Less than 1.8,,,,12,5,170,84,42,1.5,0.4,#,180,44,110,17.01,70,57,#,454,290,10,0.83,,0.5,#,0.47,#,#,,,,
3084,Lakes & Tanks,"Waddepally tank, Kazipet",Warangal Urban,5.8,7.1,604,1.2,3.22,,Less than 1.8,48,Less than 1.8,,,,10,5,100,98,16,1.5,0.4,#,110,26,65,10.94,45,58,#,368,240,10,0.21,,0.5,#,0.75,#,#,,,,
3085,Lakes & Tanks,Chinnawaddepally tank,Warangal Urban,0.3,7.51,1272,12,8,,21,430,6.1,,,,18,5,265,213,133,7,3.08,#,280,68,170,26.73,110,102,#,788,525,10,3.84,,0.5,#,0.44,#,#,,,,
2345,Lakes & Tanks,Sai Cheruvu,Warangal Urban,0.3,7.57,5670,10,12.51,,32,540,14,,,,31,5,980,1025,246,5.6,1.29,#,1160,318,795,88.69,365,752,#,3628,2470,38,2.24,,0.5,#,0.43,#,#,,,,
4247,Lakes & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248,Lakes & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,3.2,7.32,990,3,6,,24,280,4,,,,14,5,205,140,32,5.6,0.89,#,225,54,135,21.87,90,85,#,614,410,10,0.85,,0.5,#,0.59,#,#,,,,
4249,Lakes & Tanks,"Rangasamudram, Warangal",Warangal Urban,Water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,Lakes & Tanks,Laknavaram lake,Mulugu,6.2,7.63,210,1.6,0.5,,Less than 1.8,17,Less than 1.8,,,,6.2,5,55,26,12,1.5,0.4,#,60,12.8,32,6.8,28,10,#,140,80,10,0.24,,0.5,#,0.62,#,#,,,,
4681,Lakes & Tanks,Pakala lake Narsampet,Warangal Rural,6.1,7.82,248,1,0.3,,Less than 1.8,27,Less than 1.8,,,,10,5,65,32,5,1.5,0.4,#,75,16,40,8.5,35,16,#,148,90,10,0.2,,0.5,#,0.2,#,#,,,,
4682,Lakes & Tanks,Bandham Cheruvu,Warangal,Water hyacinth,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,,
4683,Lakes & Tanks,"Pedda cheruvu, Madikonda",Warangal,2,7.6,779,5.2,4,,12,110,Less than 1.8,,,,19,5,155,130,60,4.2,0.87,#,185,46,115,17.01,70,84,#,476,320,17,0.43,,0.5,#,1.05,#,#,,,,
4243,Lakes & Tanks,"Isnapur Tank,/Pashamailaram",Sangareddy,4,6.19,9440,52,103,0.47,8.3,84,4.2,,,,15,48,885,1346,780,40,10,BDL,2325,584,1460,210,865,208,315,4720,3320,47,,0.35,BDL,20.3,0.43,22.49,2.52,,,,
4302,Lakes & Tanks,Rudraram Tank,Sangareddy,6.4,6.76,3210,4.6,80,0.26,7.8,34,3.7,,,,9,28,420,423,65,15,4,BDL,764,180,450,76,314,99,190,1550,1080,14,,0.24,BDL,14,0.45,34.49,2.73,,,,
4240,Lakes & Tanks,"Muthangi Tank,",Sangareddy,6.1,7.47,2164,4.9,58,0.17,8.2,40,3.6,,,,10.2,36,300,235,72,16,4,BDL,420,100,250,41,170,60,105,950,630,13,,0.31,BDL,14,BDL,34.22,2.01,,,,
4241,Lakes & Tanks,"Chitkul Tank,",Sangareddy,6.1,7.26,2090,3.9,57,0.25,7.8,63,5.6,,,,10.2,16,180,479,72,8,BDL,BDL,485,100,250,57,235,89,195,1254,875,12,,0.32,BDL,19,BDL,45.49,3.86,,,,
