Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,
2358,Lakes & Tanks,Mallapur tank,Medchal Malkajgiri,,0.3,7.8,3012,18,12.2,,39,920,11,,,,38,5,480,593,260,22.4,11.2,,860,208,520,82.62,340,140,#,1898,1280,30,4.28,#,0.65,#,1.68,,,
1789,Lakes & Tanks,Himayathsagar lake,RR-shamshabad,,6.2,7.74,557,1,0.9,,Less than 1.8,39,Less than 1.8,,,,12,5,152,72,8,1.5,0.4,,175,38,95,19.44,80,38,#,346,230,10,0.27,#,0.5,#,0.62,,,
3069,Lakes & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,,5.4,7.4,781,1.8,1,,Less than 1.8,70,Less than 1.8,,,,14,5,190,122,18,2.24,0.56,,220,66,165,13.37,55,47,#,484,320,10,0.42,#,0.5,#,0.87,,,
3078,Lakes & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,,0.3,7.36,1103,6,1.4,,21,350,6.8,,,,27,5,266,162,72,11.2,3.36,,290,88,220,17.01,70,68,#,688,460,24,1.53,#,0.5,#,1.03,,,
2340,Lakes & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,,2.3,7.56,1943,3,4.8,,44,540,9.3,,,,34,5,390,365,56,13.44,5.6,,405,120,300,25.52,105,86,#,1242,850,27,1.07,#,0.5,#,1.34,,,
4229,Lakes & Tanks,Neknampur Lake,RR-shamshabad,,0.3,7.33,1598,12,11.8,,39,540,9.3,,,,34,5,336,202,135,17.36,6.72,,350,76,190,38.88,160,94,#,958,650,28,3.2,#,0.5,#,1.38,,,
1780,Lakes & Tanks,Gandigudem Tank,Sangareddy,,6.3,7.72,2345,4.9,78,0.18,5.7,63,3.7,,,,9.2,38,360,375,48,BDL,7,BDL,724.79,150,375,85,349.79,110,132,1430.45,1015.62,12,,0.54,BDL,15,0.51,27.93,2.14,
2347,Lakes & Tanks,Asani Kunta,Sangareddy,,NIL,5.99,9980,78,140,0.49,11,140,6,,,,80,50,1900,1800,1140,15,62,BDL,3154.94,620,1550,390,1604.94,289,398,5988,4251.48,55,,0.48,0.31,75,0.17,21.09,3.09,
1783,Lakes & Tanks,Kistareddypet Tank,Sangareddy,,6.2,6.99,1618,5,38,0.09,8.2,39,4.5,,,,9.1,18,300,260,54,BDL,6,BDL,380.49,88,220,39,160.49,70,129,986.98,700.76,14,,0.36,BDL,7.5,0.12,41.93,2.88,
2348,Lakes & Tanks,Khazipally Tank,Sangareddy,,7,7.78,954,3.8,25,0.09,4,24,3.7,,,,3.2,12,180,145,39,BDL,6,BDL,310,84,210,24,100,41,45,581.94,413.18,8,,0.26,BDL,5.8,BDL,23.71,1.12,
1215,Lakes & Tanks,Madannapet Lake,Warangal Rural,,6.2,7.96,316,1,1.6,,Less than 1.8,39,Less than 1.8,,,,17,5,90,34,5,1.5,0.4,,110,24.8,62,11.66,48,20,#,184,120,12,0.31,#,0.5,#,0.38,,,
3068,Lakes & Tanks,Ramappa lake,Mulugu,,6.2,8.06,416,1,0.4,,Less than 1.8,33,Less than 1.8,,,,12,5,124,47,5,1.5,0.4,,180,54,135,10.94,45,30,#,250,170,10,0.32,#,0.5,#,0.36,,,
1447,Lakes & Tanks,Dharmasagar tank,Warangal,,6.2,8.17,378,1.8,0.7,,Less than 1.8,33,Less than 1.8,,,,8,5,124,32,24,1.5,0.4,,140,40,100,9.72,40,17,#,226,150,10,0.34,#,0.5,#,0.48,,,
2346,Lakes & Tanks,Bhadrakali cheruv,Warangal Urban,emptied for clenaning process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,Lakes & Tanks,"Waddepally tank, Kazipet",Warangal Urban,,2.1,8.58,517,4,0.9,,Less than 1.8,32,Less than 1.8,,,,17,5,120,76,56,1.5,0.4,,150,32,80,17.01,70,40,#,310,200,14,0.72,#,0.5,#,0.55,,,
3085,Lakes & Tanks,Chinnawaddepally tank,Warangal Urban,,0.3,7.93,1163,8,1.3,,46,430,4,,,,28,5,260,152,104,9.52,3.36,,330,92,230,24.3,100,88,#,724,500,24,2.36,#,0.5,#,1.29,,,
2345,Lakes & Tanks,Sai Cheruvu,Warangal Urban,0.3,7.32,3050,12,1.2,,47,540,4.5,,,,16,5,140,887,214,10.64,2.8,,220,48,120,24.3,100,194,#,1880,1270,14,3.06,#,0.5,#,1.74,,,,
4247,Lakes & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,,1.3,7.82,974,5.8,4.2,,21,280,2,,,,28,5,226,132,68,4.48,0.56,,235,52,130,25.52,105,57,#,584,400,21,0.87,#,0.5,#,1.02,,,
4248,Lakes & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,,1.8,7.25,820,5.8,2.1,,14,170,2,,,,18,5,210,110,66,5.6,1.68,,250,56,140,26.73,110,64,#,516,360,16,1.72,#,0.5,#,0.38,,,
4249,Lakes & Tanks,"Rangasamudram, Warangal",Warangal Urban,,2.5,7.65,990,5,4.6,,11,350,2,,,,28,5,170,162,62,6.16,2.8,,180,38,95,20.66,85,53,#,594,400,24,0.97,#,0.5,#,0.88,,,
4680,Lakes & Tanks,Laknavaram lake,Mulugu,,6.2,7.58,151,1,0.3,,Less than 1.8,24,Less than 1.8,,,,6,5,50,18,5,1.5,0.4,,80,18,45,8.5,35,10,#,88,55,10,0.41,#,0.5,#,0.42,,,
4681,Lakes & Tanks,Pakala lake Narsampet,Warangal Rural,,6.2,7.86,250,1,0.3,,Less than 1.8,32,Less than 1.8,,,,8,5,90,20,5,1.05,0.4,,72,22.4,56,3.89,16,12,#,154,100,10,0.29,#,0.5,#,0.2,,,
4682,Lakes & Tanks,Bandham Cheruvu,Warangal,,5.9,7.26,1468,2.2,4.1,,47,540,6.8,,,,28,5,230,240,44,11.2,4.48,,250,64,160,21.87,90,112,#,910,620,26,1.07,#,0.5,#,0.84,,,
4683,Lakes & Tanks,"Pedda cheruvu, Madikonda",Warangal,,4.7,7.86,1004,3,1.8,,14,350,2,,,,19,5,266,174,38,8.4,3.36,,305,64,160,35.23,145,27,#,602,410,20,0.99,#,0.5,#,0.43,,,
4243,Lakes & Tanks,"Isnapur Tank,",Sangareddy,,4.8,7.95,3745,30,96,0.45,8,79,5.5,,,,6.2,34,595,620,325,10,22,BDL,899.79,220,550,85,349.79,102,305,2247,1595.37,39,,0.51,BDL,20.7,0.34,41.83,4.43,
4302,Lakes & Tanks,Rudraram Tank,Sangareddy,,6.8,8.33,1966,4.8,39,0.15,6.8,38,4,,,,8.1,32,265,410,52,BDL,7,BDL,540,116,290,61,250,86,149,1199.26,851.47,7,,0.51,BDL,10.9,0.22,36.96,2.79,
4240,Lakes & Tanks,"Muthangi Tank,",Sangareddy,,4.2,7.86,1429,4.9,40,0.16,8.1,41,4.5,,,,9.5,20,335,200,50,BDL,6,BDL,345,80,200,35,145,76,113,871.69,618.9,8,,0.43,BDL,17.5,BDL,40.24,2.65,
4241,Lakes & Tanks,"Chitkul Tank,",Sangareddy,,6,8.32,1438,4.1,45,0.18,6.1,63,4.5,,,,9.7,18,220,230,41,BDL,6,BDL,400,80,200,49,200,68,99,877.18,622.8,9,,1.09,BDL,16.4,0.2,33.84,2.15,
4242,Lakes & Tanks,"Lakadaram Cheruvu,",Sangareddy,,6.2,7.93,1896,4.8,68,0.13,6,34,3.7,,,,9.6,24,340,325,55,5,9,BDL,610,120,300,75,310,116,96,1156.56,821.16,8,,0.49,BDL,10.9,0.11,25.19,1.7,
4238,Lakes & Tanks,"Ameenpur Cheruvu,",Sangareddy,,6.8,8.34,1426,3.1,43,0.14,5.6,63,3.7,,,,7.5,24,260,210,22,BDL,5,BDL,330,64,160,41,170,46,96,827.08,587.23,8,,0.41,BDL,7.5,0.14,38.26,2.31,
4239,Lakes & Tanks,"Mahaboobsagar Tank,",Sangareddy,,6.4,8.22,1088,3.4,40,0.14,4,43,2,,,,5.8,18,240,120,33,BDL,5,BDL,235,62,155,20,80,38,89,631.04,448.04,8,,0.7,BDL,7.9,BDL,44.0,2.52,
4244,Lakes & Tanks,"Erdanoor Tank,",Sangareddy,,6.8,7.74,1704,3.8,45,0.12,5.5,43,2,,,,7.6,18,180,380,36,BDL,4,BDL,520,94,235,69,285,39,129,1039.44,738.0,7,,BDL,BDL,9.5,0.12,34.66,2.47,
4245,Lakes & Tanks,"Mallepally Tank,",Sangareddy,,7.6,8.3,1804,3.9,48,0.16,3.6,32,1.8,,,,5.4,36,370,240,43,BDL,5,BDL,440.19,102,255,45,185.19,84,153,1100.44,781.31,8,,BDL,BDL,9.2,0.07,42.51,3.18,
4661,Lakes & Tanks,Peddakanjarla Tank,Sangareddy,,6,8.01,490,3.2,15,0.08,2,21,",1.8",,,,2.9,10,130,90,18,BDL,BDL,BDL,205,48,120,21,85,26,29,333.2,236.57,8,,0.51,BDL,8.9,0.12,22.53,0.88,
4666,Lakes & Tanks,Ismailkhanpet Tank,Sangareddy,,5.8,7.73,960,3.5,33,0.12,3.5,31,1.8,,,,4.4,24,190,135,20,BDL,4,BDL,225,50,125,24,100,41,84,585.6,415.78,7,,BDL,BDL,9.5,0.34,43.74,2.45,
4688,Lakes & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,,6.4,7.84,831,3.1,18,0.09,3.6,31,2,,,,3.7,14,150,125,24,BDL,4,BDL,185,40,100,21,85,26,72,490.29,348.11,8,,0.51,BDL,6.5,BDL,44.67,2.3,
4234,Lakes & Tanks,"Umda sagar lake, Shamshabad",RR-shamshabad,,0.8,7.98,1381,5.9,14.71,,24,350,6.8,,,,15,5,340,210,71,16.24,6.16,,360,90,225,32.8,135,56,#,828,560,12,1.37,#,0.5,#,1.18,,,
