Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Less than 0.1,7.12,1692,28,13.2,Not Analysed,22,350,,,,20,Less than 1,342,285,150,3.2,Not Analysed,Not Analysed,375,78.4,43.5,88,212,1032,,26,1.12,Not Analysed,0.28,4.6,1.2,54.61,4.75
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Less than 0.1,7.88,1381,20,6.4,Not Analysed,20,350,,,,18,Less than 1,310,190,98,3,Not Analysed,Not Analysed,350,78.4,37.42,96,152,890,,14,1.8,Not Analysed,0.28,2.6,0.9,48.19,3.52
1788,Lakes & Tanks ,Saroornagar Lake,Less than 0.1,7.32,1498,28,8.6,Not Analysed,32,420,,,,28,Less than 1,350,198,118,4.2,Not Analysed,Not Analysed,395,84.8,44.47,110,160,984,,26,1.6,Not Analysed,0.34,6,0.8,46.2,3.49
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",Less than 0.1,7.71,1438,28,13.4,Not Analysed,28,320,,,,24,Less than 1,340,201,164,4.2,Not Analysed,Not Analysed,440,96,48.6,94,130,910,,18,0.85,Not Analysed,0.32,2.6,1.1,38.8,2.69
1464,Lakes & Tanks ,Bibinagar Tank,5.9,7.43,492,4,7,0.32,4,79,,,,11,8,102,62,24,4.5,Less than 1,BDL,135.8,28,16,7,21,276,205,20,Not Analysed,0.32,Less than 0.01,2,0.31,24.69,0.78
3068,Lakes & Tanks ,Ramappa lake,5.8,8.06,266,2.1,Less than 0.01,Not Analysed,Less than 2,18,,,,4,Less than 1,90,24,8,Less than 1,Not Analysed,Not Analysed,95,24,8.5,10,17,170,,4,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,27.38,0.76
1447,Lakes & Tanks ,Dharmasagar tank,5.6,8.05,320,3,0.6,Not Analysed,Less than 2,14,,,,6,Less than 1,100,28,16,Less than 1,Not Analysed,Not Analysed,115,34,7.29,18,20,206,,6,Less than 0.01,Not Analysed,Less than 0.01,2,0.4,26.94,0.81
2346,Lakes & Tanks ,Bhadrakali tank,5.9,7.89,407,3,0.6,Not Analysed,Less than 2,16,,,,8,Less than 1,150,28,14,Less than 1,Not Analysed,Not Analysed,160,36,17.01,14,16,258,,16,Less than 0.01,Not Analysed,Less than 0.01,8,Less than 0.01,16.89,0.55
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",4.2,8.01,523,4,1.2,Not Analysed,Less than 2,24,,,,6,Less than 1,150,61,16,Less than 1,Not Analysed,Not Analysed,175,34,21.87,26,40,348,,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,32.73,1.31
3085,Lakes & Tanks ,Chinnawaddepally tank,Less than 0.1,7.8,1122,26,6,Not Analysed,20,350,,,,28,Less than 1,220,190,156,4.6,Not Analysed,Not Analysed,235,64,18.22,65,146,770,,22,2.8,Not Analysed,0.31,8,0.8,56,4.1
