Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,R.C.Puram,4.4,7.32,4730,6.2,14,0.19,8.3,150,6.8,,,,24,44,434,300,57,10.1,0.1,Less than 0.01,662,130,82,45,75,2681,1861,14,,0.23,0.1,16,0.19,19.18,1.26
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,R.C.Puram,5.3,7.26,995,4,9,0.14,3.6,38,1.8,,,,15,24,228,118,36,6.7,0.1,Less than 0.01,298,60,36,19,33,551,391,13,,0.16,0.1,8,0.14,18.78,0.83
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,R.C.Puram,5.5,7.24,781,4.5,6,0.11,5.5,47,6,,,,11,16,188,98,41,7.3,0.1,Less than 0.01,250,54,28,21,29,449,314,9,,0.19,0.1,6,0.16,19.55,0.79
4235,Lakes & Tanks ,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,Ranga Reddy-I,2.6,8.08,1245,5.8,6.8,,19,280,6,,,,,5,220,202,75,5.6,3.18,0.2,258,67,22,138,160,799,518,22,0.18,,0.1,10.8,0.56,56.03,4.32
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,R.C.Puram,4,7.16,5140,15,23,0.18,25,240,14,,,,35,40,584,360,112,20.2,0.1,Less than 0.01,818,176,92,43,94,2887,1890,18,,0.22,0.1,27,0.25,19.24,1.42
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,Sangareddy,4.7,7.08,1459,7,13,0.21,10,210,8.3,,,,18,28,276,94,60,10.7,0.1,Less than 0.01,296,62,34,17,37,813,520,16,,0.21,0.1,9,0.18,20.7,0.93
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,Sangareddy,5,7.33,683,6,11,0.16,9.3,84,6.8,,,,17,24,152,84,50,9,0.1,Less than 0.01,200,40,24,14,29,382,279,11,,0.17,0.1,4,0.11,23.51,0.89
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,Sangareddy,6.2,7.28,1257,5,15,0.15,11,79,6.1,,,,12,20,192,90,46,8.4,0.1,Less than 0.01,240,46,30,17,31,719,539,12,,0.16,0.1,8,0.13,21.22,0.87
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,Sangareddy,Sample was not collected as it was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Warangal,5,8.39,1006,2.3,0.68,,6,63,Less than 1.8,,,,,20,230,122,40,5,0.1,Less than 0.01,260,66,23.09,50,90,593,400,18,0.42,,0.1,4.6,0.69,42.28,2.42
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,Warangal,1.5,7.41,1090,6,2.26,,11,120,Less than 1.8,,,,,5,212,140,44,5,0.1,Less than 0.01,250,67.2,19.93,74,106,622,420,21,0.36,,0.1,9,0.68,46.74,2.91
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,Ranga Reddy-I,1.2,7.99,1872,12,17.6,,21,350,4,,,,,5,340,272,127,7.84,0.45,Less than 0.01,440,112,38.88,166,210,1142,810,24,0.4,,0.1,28.7,1.21,48.81,4.34
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,Warangal,3.2,8.58,1187,5,0.48,,17,120,Less than 1.8,,,,,14,260,160,52,3.36,0.1,Less than 0.01,340,74,37.66,96,114,737,460,17,0.32,,0.1,6.8,0.81,41.41,2.68
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,Sangareddy,Sample was not collected as it was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,Sangareddy,5.8,7.4,773,4,6,0.14,6.1,41,4,,,,15,24,164,46,37,6.7,0.1,Less than 0.01,172,36,20,9,17,431,309,14,,0.15,0.1,4,0.14,17.16,0.56
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,3.6,7.36,549,2.8,0.26,,14,220,Less than 1.8,,,,,5,150,55,28,5,0.1,Less than 0.01,160,36,17.01,32,44,324,240,26,0.36,,0.1,6.06,0.72,36.19,1.51
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,hyderabad,5.1,7.53,664,3.8,2,,21,170,8,,,,,5,205,78,42,5,0.1,Less than 0.01,270,67,25,48,46,360,240,20,0.12,,0.1,5.87,0.6,26.37,1.21
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,Warangal,6.2,7.71,173,2.6,0.16,,Less than 1.8,19,Less than 1.8,,,,,5,48,18,8,5,0.1,Less than 0.01,66,16.4,6.08,7,7,98,60,12,0.08,,0.1,2.04,0.24,18.08,0.37
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,Warangal,4.9,8.54,304,2.8,0.22,,Less than 1.8,17,Less than 1.8,,,,,13,110,19,19,5,0.1,Less than 0.01,100,27.2,7.78,12,22,189,120,14,0.1,,0.1,2.24,0.24,31.65,0.95
