Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium (mg/L),Magnesium Carbonate as CaCO3,Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2345,Lakes & Tanks,Sai Cheruvu,Warangal Urban,0.3,7.3,1999,8,3.4,,33,430,2,,,,13,5,385,276,98,8.4,2.24,,395,80,200,47.38,195,183,#,1278,870,22,3.24,,0.5,,0.97,#,#,,,,,,,,
4247,Lakes & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,2.4,7.92,633,3,1.7,,11,280,Less than 1.8,,,,15,5,140,76,44,5.6,1.12,,150,30,75,18.22,75,44,#,398,266,18,2.72,,0.5,,0.79,#,#,,,,,,,,
4248,Lakes & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,1.4,7.23,858,2,2.1,,17,280,2,,,,21,5,180,108,32,6.72,2.8,,190,42,105,20.66,85,68,#,524,360,16,2.42,,0.5,,0.58,#,#,,,,,,,,
4249,Lakes & Tanks,"Rangasamudram, Warangal",Warangal Urban,1.3,8.08,737,4,5.2,,21,350,2,,,,16,5,155,92,44,6.16,1.68,,170,36,90,19.44,80,52,#,456,314,18,2.52,,0.5,,0.96,#,#,,,,,,,,
4680,Lakes & Tanks,Laknavaram lake,Mulugu,6.3,8.07,137,1,0.7,,Less than 1.8,21,Less than 1.8,,,,6,5,35,22,8,1.5,0.4,,45,8,20,6.08,25,15,#,84,40,10,0.21,,0.5,,0.49,#,#,,,,,,,,
4681,Lakes & Tanks,Pakala lake Narsampet,Warangal Rural,6.2,8.01,164,1,0.5,,Less than 1.8,26,Less than 1.8,,,,7,5,40,21,8,1.5,0.4,,50,12,30,4.86,20,14,#,102,60,10,0.27,,0.5,,0.2,#,#,,,,,,,,
4682,Lakes & Tanks,Bandham Cheruvu,Warangal,2.4,7.26,1197,4,1.71,,11,240,Less than 1.8,,,,24,5,225,149,42,5.6,1.12,,260,56,140,29.16,120,104,#,766,530,20,2.58,,0.5,,1.04,#,#,,,,,,,,
4683,Lakes & Tanks,"Pedda cheruvu, Madikonda",Warangal,1.7,7.58,820,3.2,4,,17,210,Less than 1.8,,,,8,5,185,96,48,1.5,0.59,,200,38,95,25.52,105,57,#,508,340,16,2.7,,0.5,,0.75,#,#,,,,,,,,
4243,Lakes & Tanks,"Isnapur Tank,/Pashamailaram",Sangareddy,4.4,6.47,6086,40,85,0.41,7.5,70,4,,,,10.2,34,875,1310,432,40,8,BDL,2225,578,1445,190,780,195,302,3651.6,2592.64,42,,0.56,BDL,18.5,0.5,22.67,2.79,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14
4302,Lakes & Tanks,Rudraram Tank,Sangareddy,6,7.59,2558,5.2,65,0.21,6,34,4,,,,7.2,18,420,440,65,10,2.8,BDL,815,192,480,81,335,105,170,1534.8,1089.71,10,,0.24,BDL,14,0.38,30.87,2.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4240,Lakes & Tanks,"Muthangi Tank,",Sangareddy,6.1,6.75,1685,5.1,60,0.11,7.8,34,4.5,,,,9.8,30,300,230,56,12,3.5,BDL,415,94,235,44,180,65,93,980,695.8,8,,0.34,BDL,20,BDL,31.5,1.99,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24
4241,Lakes & Tanks,"Chitkul Tank,",Sangareddy,6.1,6.64,1854,5.2,53,0.32,6,63,4,,,,9.2,30,170,465,42,10,BDL,BDL,480.14,90,225,62,255,80,185,1112.4,789.8,12,,0.29,BDL,16,BDL,44.66,3.68,BDL,BDL,BDL,BDL,BDL,BDL,0.02,0.16
4242,Lakes & Tanks,"Lakadaram Cheruvu,",Sangareddy,6.4,7.26,2054,5,60,0.25,6.5,33,3.6,,,,8.6,20,320,350,40,10,2.5,BDL,640,138,345,72,295,66,105,1232.4,875.0,8,,0.34,BDL,11.1,0.4,25.92,1.81,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4238,Lakes & Tanks,"Ameenpur Cheruvu,",Sangareddy,6.8,7.24,1280,3.2,45,0.21,6,58,3.6,,,,6.1,20,290,250,36,7,BDL,BDL,570,130,325,60,245,48,71,798,566.58,8,,0.28,BDL,9.8,0.25,20.97,1.29,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4239,Lakes & Tanks,"Mahaboobsagar Tank,",Sangareddy,6.2,7.35,1090,3.4,30,0.19,4.5,49,1.8,,,,5.3,10,280,150,24,7,BDL,BDL,390,98,245,35,145,52,71,654,464.34,7,,0.2,BDL,9,0.24,27.91,1.57,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4244,Lakes & Tanks,"Erdanoor Tank,",Sangareddy,6,7.39,1013,4.2,45,0.21,5.6,38,2,,,,7.1,24,185,330,36,6,BDL,BDL,570,148,370,49,200,53,75,920,653.2,9,,0.15,BDL,6.7,0.18,22.02,1.37,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4245,Lakes & Tanks,"Mallepally Tank,",Sangareddy,6.2,7.05,1826,4.2,63,0.19,3.5,26,1.8,,,,5.4,18,170,480,46,7,BDL,BDL,515.14,104,260,62,255,112,195,1189,844.19,8,,0.18,BDL,10,0.19,44.65,3.74,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4661,Lakes & Tanks,Peddakanjarla Tank,Sangareddy,6.5,6.85,668,2.4,20,0.08,2,25,Less than 1.8,,,,2.2,10,180,120,14,BDL,BDL,BDL,320,78,195,30,125,38,20,498,353.58,7,,0.12,BDL,6.2,0.1,11.8,0.49,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4666,Lakes & Tanks,Ismailkhanpet Tank,Sangareddy,6.3,7.39,1512,4.8,40,0.11,3.6,33,1.8,,,,4.3,14,180,245,46,4,BDL,BDL,395,86,215,44,180,45,80,810,575.1,8,,0.09,BDL,8.7,0.24,30.02,1.75,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
