Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,3.8,7.19,856,2.7,3.2,,9.1,430,1.8,N.A,N.A,N.A,10.6,5,165,115,39,3.36,0.88,0.01,265,165,66,100,24.3,70,,506,,18,0.43,,0.5,,0.96,,,,,,,,,,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,4,7.15,785,2.2,3,,8.3,350,2,N.A,N.A,N.A,8.7,5,150,105,27,3.36,0.54,0.01,210,135,54,75,18.22,63,,478,,12,0.47,,0.5,,0.97,,,,,,,,,,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,0.3,7.14,1289,8,4.8,,12,540,3.7,N.A,N.A,N.A,12.4,5,270,147,106,7.84,2.28,0.02,285,180,72,105,25.52,91,,812,,24,2.02,,0.5,,1,,,,,,,,,,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,0.3,7.35,1063,6,4.6,,8.3,350,4,N.A,N.A,N.A,11.7,5,235,120,43,6.72,1.34,0.02,250,150,60,100,24.3,64,,658,,18,1.88,,0.5,,0.96,,,,,,,,,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,0.3,7.22,899,10,4.4,,10,350,3.6,N.A,N.A,N.A,8.6,5,195,108,125,5.6,1.09,0.01,440,290,116,150,36.45,68,,558,,12,0.7,,0.5,,1.1,,,,,,,,,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,1.8,7.62,1060,4,4.2,,8.1,430,2,N.A,N.A,N.A,7.2,5,250,157,39,4.48,1.32,0.03,260,162,64.8,98,23.81,97,,668,,10,0.82,,0.5,,0.9,,,,,,,,,,
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,0.3,7.21,886,6,3.6,,11,350,3,N.A,N.A,N.A,8.8,5,195,98,44,4.48,1.74,0.02,275,175,70,100,24.3,53,,540,,14,2.56,,0.5,,1,,,,,,,,,,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda cheruvu (nacharam),Ranga Reddy,Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,6.1,7.64,874,3,4,0.08,6.1,41,6,,,,10,18,200,148,30,8,0.4,0.01,260,170,68,90,22,10,23,568.1,403.35,10,,0.14,0.5,5,0.32,15.72,0.48,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
