Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
1789,Lakes  & Tanks,"Himayathsagar lake, Shamshabad",RR-shamshabad,5.1,7.72,539,1.2,0.3,,Less than 1.8,70,Less than 1.8,,,,4.9,5,120,59,8,1.5,0.4,0.01,130,74,29.6,56.0,13.61,34,,344,,12,0.2,,0.5,,0.4,,
3069,Lakes  & Tanks,"Shameerpet Tank, Shameerpet(V&M), Medchal- malkajigiri(D)",Medchal Malkajgiri,5,7.65,632,1.1,0.32,,2,150,Less than 1.8,,,,4.6,5,150,66,12,1.5,0.4,0.01,158,92,36.8,66,16.04,38,,386,,10,0.52,,0.5,,0.4,,
3078,Lakes  & Tanks,"Pragathinagar cheruvu,Pragathinagar(V), Kukatpally, Medchal-malkajigiri(D)",Medchal Malkajgiri,0.3,7.33,1510,10,4.8,,40,430,11,,,,8.9,5,415,179,123,5.6,1.65,0.02,428,256,102.4,172,41.8,116,,952,,28,4.54,,0.5,,0.68,,
2340,Lakes  & Tanks,"Lakshminarayana cheruvu at Edulabad, Ghatkesar, Medchal District",Medchal Malkajgiri,3.5,8,1694,1.2,3.2,,22,350,10,,,,4.7,5,320,277,16,6.72,2.48,0.13,406,236,94.4,170,41.31,172,,1052,,10,3.48,,0.5,,0.85,,
1788,Lakes  & Tanks,"Large Tank, Saroornagar (V & M), Rangareddy District",RR-shamshabad,0.3,7.88,1409,12,4.4,,9.3,350,8.1,,,,36,5,310,162,187,5.6,1.5,0.06,326,198,79.2,128,31.1,98,,860,,32,3.69,,0.5,,0.89,,
4234,Lakes  & Tanks,"Umda sagar lake,Jalpally(V), Saroornagar(M), Shamshabad",RR-shamshabad,2.8,7.9,1084,2.2,3.62,,11,430,8.4,,,,10.6,5,220,172,16,5.6,1.5,0.06,271,163,65.2,108,26.24,103,,662,,10,3.05,,0.5,,0.38,,
1464,Lakes  & Tanks,"Pedda Cheruvu, Bibinagar (V&M),Yadadri bhuvanagiri (D)",Yadadri Bhuvanagiri,5.6,7.36,1082,2.7,7,0.12,7.8,38,4.5,,,,12,12,260,90,30,5.6,0.4,0.01,321.07,140,56,181.07,44,23,40,614,368,13,,0.12,0.5,7,0.37,20.89,0.97
3068,Lakes  & Tanks,"Ramappa lake, Palampet (V), Venkatapuram (M), Mulugu District.",Mulugu,5.4,7.51,274,2,0.46,,Less than 1.8,150,Less than 1.8,,,,4,5,65,28,8,1.5,0.4,0.01,75,38,15.2,37,8.99,18,,168,,10,0.2,,0.5,,0.25,,
1447,Lakes  & Tanks,"Dharmasagar Tank, Dharmasagar(V&M), Hanumakonda District",Warangal,5.4,7.9,371,1.4,1.2,,6,110,2,,,,3.7,5,90,36,8,1.5,0.4,0.02,98,54,21.6,44,10.69,24,,224,,10,0.2,,0.5,,0.32,,
2346,Lakes  & Tanks,"Bhadrakali Cheruvu, Near Bhadrakali Temple, Hanumakonda",Warangal Urban,4.6,7.8,903,2.6,0.32,,Less than 1.8,140,Less than 1.8,,,,5.6,5,205,127,32,1.5,0.4,0.01,220,134,53.6,86,20.9,76,,542,,12,0.2,,0.5,,0.5,,
3084,Lakes  & Tanks,"Wadepalli Cheruvu, Wadepally (V), Hanamkonda (M&D)",Warangal Urban,5.4,8.15,507,1.6,0.36,,Less than 1.8,220,2,,,,8.6,5,120,59,12,1.5,0.4,0.03,132,80,32,52,12.64,34,,324,,15,0.2,,0.5,,0.48,,
3085,Lakes  & Tanks,"Chinna Wadepalli Cheruvu, Enumamula(V), Warangal(M&D)",Warangal Urban,0.9,7.64,1247,5.8,1.2,,11,350,2,,,,22,5,220,190,159,4.48,0.4,0.01,310,194,77.6,116,28.19,128,,772,,26,1.84,,0.5,,0.79,,
2343,Lakes  & Tanks,"Premajipet Tank , Shamshabad",RR-shamshabad,0.9,7.61,2508,5.8,6.6,,Less than 1.8,540,Less than 1.8,,,,10.6,5,530,397,96,8.96,3.98,0.09,590,365,146,225,54.67,248,,1528,,11,5.24,,0.5,,0.58,,
2345,Lakes  & Tanks,"Sai Cheruvu, Deshaipet(V), Warangal (M&D)",Warangal Urban,0.3,8.11,4070,12,4.88,,Less than 1.8,120,Less than 1.8,,,,14.3,5,1010,746,207,4.48,0.4,0.03,1125,752,300.8,373,90.64,428,,2482,,16,1.68,,0.5,,0.61,,
4222,Lakes  & Tanks,"Kondagattu temple- Koneru, Jagitiyal",Jagityal,Dried up ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes  & Tanks,"Vemulawada temple - Koneru, Vemulawada (V & M) Karimnagar",Siricilla,Dried up ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes  & Tanks,"Pedda cheruvu/Ibrahim cheruvu, Ibrahimbagh, Rajendranagar(M), Rangareddy District",RR-shamshabad,0.3,8.11,1589,6,5.2,,13,540,10,,,,24,5,380,191,60,5.6,0.93,0.06,394,228,91.2,166,40.34,114,,986,,108,3.46,,0.5,,0.72,,
4230,Lakes  & Tanks,"Kistaipally Cheruvu, Kistaipally (V), Jinnaram(M), Sangareddy District",Sangareddy,5.5,7.79,4220,5,14,0.25,6.8,70,3.7,,,,26,20,572,498,65,11.7,0.4,0.01,1108.44,450,180,658.44,160,126,126,2386,1479.32,18,,0.17,0.5,28,0.3,19.35,1.65
