Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4680,Lakes  & Tanks,"Laknavaram Cheruvu, Laknavaram, (V), Govindarao peta (M), Mulugu District.",Mulugu,6.2,7.62,188,1.2,1,,Less than 1.8,24,Less than 1.8,,,,8,5,42,32,20,1.5,0.4,,44,25,10,19,4.62,12,,114,,12,0.2,,0.5,,0.43,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.21
4681,Lakes  & Tanks,"Phakal Cheruvu, Narsampet, Warangal District",Warangal Rural,6,7.82,210,1.2,1.6,,Less than 1.8,14,Less than 1.8,,,,8,5,78,22,6,1.5,0.4,,85,55,22,30,7.29,12,,120,,10,0.32,,0.5,,0.49,,,,0.0,0.0,0.0,0.0,0.0,0.03,0.07
4682,Lakes  & Tanks,"Bandam Cheruvu, Near NIT Warangal, Hanamkonda",Warangal,4.5,8.09,558,3,2.6,,6,280,2,,,,11,5,165,47,40,5.6,2.08,,180,110,44,70,17.01,27,,340,,16,0.28,,0.5,,0.54,,,,0.0,0.0,0.02,0.01,0.03,0.03,0.27
4688,Lakes  & Tanks,"Narinja Lake, Kothur-B (V), Zaheerabad (M), Sangareddy",Sangareddy,6.5,6.91,810,3.4,16,0.13,2,43,1.8,7,0.67,,4.8,24,185,92,42,41,,BDL,240,150,60,90,22,35,16,486,340.2,8,,0.14,BDL,3,0.21,15.4,0.39,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1391,Lakes  & Tanks,"Hussain sagar Lake, Domalguda (V), Hyderabad",Hyderabad,0.3,7.58,1388,6,4.4,,40,540,5.6,,,,9,5,266,182,86,8.4,3.62,,362,207,82.8,155,37.66,110,,908,,17,2.48,,0.5,,0.79,,,,0.0,0.0,0.08,0.0,0.03,0.0,0.05
3071,Lakes  & Tanks,"Langarhouse Tank, Golconda (V&M) ,Hyderabad (D)",Hyderabad,0.3,7.53,1357,14,4,,39,540,6,,,,12,5,245,210,180,7,3.68,,332,178,71.2,154,37.42,98,,828,,31,3.02,,0.5,,0.87,,,,0.0,0.0,0.04,0.03,0.04,0.04,0.1
2341,Lakes  & Tanks,"Miralam tank, Bahadurpura (M), Hyderabad",Hyderabad,0.3,7.86,1289,10,3.8,,9.3,540,2,,,,14.2,5,205,198,125,5.6,2.18,,316,201,80.4,115,27.95,118,,798,,12,2.28,,0.5,,0.78,,,,0.0,0.0,0.0,0.0,0.04,0.06,0.19
3073,Lakes  & Tanks,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,0.3,7.84,988,10,3.6,,17,540,6,,,,9,5,145,145,161,9.8,2.84,,246,155,62,91,22.11,90,,648,,12,2.72,,0.5,,0.93,,,,0.0,0.01,0.03,0.02,0.04,0.08,0.8
3072,Lakes  & Tanks,"Safilguda lake, Medchal",Medchal Malkajgiri,0.3,7.52,1323,14,3.6,,9.2,430,2,,,,10,5,265,164,204,8.4,1.38,,322,177,70.8,145,35.23,98,,820,,18,2.35,,0.5,,0.85,,,,0.0,0.0,0.03,0.02,0.04,0.05,0.17
3075,Lakes  & Tanks,"Rangadhamini Kunta, Kukatpally(V&M), Medchal - Malkajgiri (D)",Medchal Malkajgiri,0.3,7.56,1202,14,3.9,,17,540,6,,,,10,5,240,154,196,7,2.06,,310,166,66.4,144,34.99,92,,794,,20,2.49,,0.5,,0.87,,,,0.0,0.0,0.04,0.02,0.05,0.07,0.84
