Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,7,8.3,865,2.6,18,0.06,5.6,22,4,7.5,0.73,,3.5,20,155,132,30,26,,BDL,310,210,88,100,24,78,28,519,363.3,5,,0.06,BDL,2.5,0.3,18.9,0.57,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.7,8.01,904,3.6,19,0.08,6.1,27,4,7.7,0.75,,4.4,15,175,102,40,32,,BDL,275,170,68,105,26,62,20,542,345,9,,0.08,BDL,2,0.31,17.05,0.47,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,7,8.21,631,3.2,8,0.07,4.5,27,Less than 1.8,,,,3.2,20,135,107,36,16,,BDL,200,125,50,75,19,32,21,379,265.3,5,,0.1,BDL,3,0.22,22.01,0.56,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,7.1,7.9,913,4.2,17,0.12,6.1,25,2,,,,4.4,16,185,130,48,32,,BDL,320,180,72,140,34,70,20,548,383.6,8,,0.31,BDL,4.5,0.33,15.22,0.45,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,6.1,7.6,516,1.6,2.6,,Less than 1.8,41,Less than 1.8,,,,4,5,145,42,28,1.5,0.4,,150,85,34,65,15.79,32,,314,,10,0.2,,0.5,,0.46,,,,0.0,0.0,0.0,0.0,0.02,0.01,0.06
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,6.1,7.58,514,1.6,2.4,,Less than 1.8,43,Less than 1.8,,,,2,5,140,44,32,1.5,0.4,,148,80,32,68,16.52,38,,308,,11,0.2,,0.5,,0.49,,,,0.0,0.0,0.0,0.0,0.01,0.02,0.27
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.1,8.58,780,2,3.8,,Less than 1.8,46,Less than 1.8,,,,6,50,180,132,60,5.6,0.74,,232,125,50,107,26.0,78,,522,,14,0.54,,0.5,,0.53,,,,0.0,0.0,0.02,0.02,0.03,0.03,0.07
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,6.1,7.55,518,1.8,2.4,,Less than 1.8,34,Less than 1.8,,,,8,5,122,60,36,1.5,0.4,,130,85,34,45,10.94,32,,304,,10,0.2,,0.5,,0.49,,,,0.0,0.0,0.01,0.01,0.02,0.03,0.05
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,6,7.4,528,1.6,2.6,,Less than 1.8,34,Less than 1.8,,,,6,5,155,55,36,1.5,0.4,,158,88,35.2,70,17.01,17,,312,,10,0.2,,0.5,,0.56,,,,0.0,0.0,0.01,0.01,0.02,0.02,0.02
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,6.1,7.48,516,1.4,2.1,,Less than 1.8,38,Less than 1.8,,,,5,5,145,52,28,1.5,0.4,,152,87,34.8,65,15.79,22,,314,,10,0.2,,0.5,,0.51,,,,0.0,0.0,0.01,0.0,0.0,0.05,0.2
2356,River Godavari,"River Godavari D/s of Ramagundam at Manthani, Peddapalli",Peddapalli,5.8,7.68,511,2,2,,Less than 1.8,31,Less than 1.8,,,,6,5,140,53,32,1.5,0.4,,142,82,32.8,60,14.58,24,,310,,11,0.2,,0.5,,0.49,,,,0.0,0.0,0.0,0.0,0.0,0.05,0.28
4662,River Godavari,"River Godavari at Kaleshwaram, 500 mts. before bathing ghat, Kaleshwaram (V), Mahadevpur (M),Jayashankar Bhupalapally",Jayashankar Bhoopalpalli,6,7.93,611,4,3.3,,Less than 1.8,32,Less than 1.8,,,,6,5,145,58,30,1.5,0.4,,216,112,44.8,104,25.27,56,,399,,10,0.52,,0.5,,0.69,,,,0.0,0.0,0.0,0.01,0.0,0.01,0.06
2365,River Godavari,"River Godavari - U/s at Kamalapur ,at M/s.AP Rayons Ltd., intake well , Kamalapur (V), Mangapet (M), Mulugu (D)",Mulugu,6.2,7.8,502,1,2.6,,Less than 1.8,31,Less than 1.8,,,,8,5,140,56,20,1.5,0.4,,150,82,32.8,68,16.52,16,,290,,10,0.2,,0.5,,0.48,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.05
2366,River Godavari,"River Godavari - D/s at Kamalapur ,at M/s.AP Rayons Ltd., Discharge point , Mangapet (V&M), Mulugu (D)",Mulugu,6.2,7.93,308,1,3.2,,Less than 1.8,21,Less than 1.8,,,,5,5,98,28,18,1.5,0.4,,102,55,22,47,11.42,18,,184,,10,0.2,,0.5,,0.53,,,,0.0,0.0,0.02,0.0,0.0,0.05,0.06
2367,River Godavari,"River Godavari - U/s at Bhadrachalam bathing ghat, Bhadradri Kothagudem",Bhadradri Kothagudem ,6.2,7.89,306,1.8,2,,Less than 1.8,17,Less than 1.8,,,,9,5,99,27,32,1.5,0.4,,106,60,24,46,11.18,18,,190,,12,0.2,,0.5,,0.45,,,,0.0,0.0,0.01,0.01,0.0,0.04,0.12
2368,River Godavari,"River Godavari - D/s at Bhadrachalam bathing ghat , Bhadradri kothagudem",Bhadradri Kothagudem ,6.1,7.79,322,1.8,2.4,,Less than 1.8,43,Less than 1.8,,,,8.2,5,102,30,38,1.5,0.4,,110,75,30,35,8.5,20,,190,,17,0.34,,0.5,,0.53,,,,0.0,0.0,0.03,0.02,0.02,0.09,0.13
2369,River Godavari,"River Godavari at Burgampahad , Bhadradri Kothagudem",Bhadradri Kothagudem ,5.8,7.85,402,2,2.8,,Less than 1.8,26,Less than 1.8,,,,18,5,122,32,42,1.5,0.4,,140,75,30,65,15.79,22,,245,,33,0.32,,0.5,,0.48,,,,0.0,0.0,0.02,0.02,0.02,0.11,0.18
4256,River Maneru / Manair,"River Maneru (tributary of Godavari) - Lower Dam,Maneru, Karimnagar",Karimnagar,6.2,7.54,422,1.8,1.8,,Less than 1.8,27,Less than 1.8,,,,5,5,120,42,48,1.5,0.4,,128,75,30,53,12.88,18,,242,,10,0.2,,0.5,,0.53,,,,0.0,0.0,0.02,0.01,0.02,0.02,0.05
4257,River Maneru / Manair,"River Maneru (tributary of Godavari) - at D/S of municipal dump site, Karimnagar",Karimnagar,4.2,7.74,2143,3.2,6.3,,21,210,4,,,,6,5,480,222,66,8.4,2.86,,526,280,112,246,59.78,232,,1350,,12,1.89,,0.5,,1.12,,,,0.0,0.0,0.02,0.01,0.02,0.05,0.42
4664,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Ghattepalli (V) near Sulthanabad, Karimnagar",Karimnagar,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,"River Maneru (tributary of Godavari) - Outlet of KTPP Ash pond joining to morancha vagu, Chelpur (V), Ghanpur (Mulugu) (M), , Jayashankar bhupalapalli District",Bhadradri Kothagudem ,6.1,7.78,522,2.8,3.2,,Less than 1.8,26,Less than 1.8,,,,7,5,145,71,48,1.5,0.4,,170,95,38,75,18.22,39,,345,,12,0.43,,0.5,,0.58,,,,0.0,0.0,0.03,0.02,0.04,0.06,0.68
1158,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Somanpally , Peddapalli",Peddapalli,6.1,7.99,772,2.8,2.9,,Less than 1.8,58,Less than 1.8,,,,7.2,5,155,98,56,1.5,0.4,,176,95,38,81,19.68,62,,462,,14,0.2,,0.5,,0.45,,,,0.0,0.0,0.03,0.0,0.01,0.02,0.02
4258,River Manjeera,"River Manjeera (tributary of Godavari) - Singoor Dam Reservoir,Singure (V), Pulkal (M), Sangareddy District",Sangareddy,7.8,7.86,656,3.8,13,0.06,3.7,22,Less than 1.8,,,,4.2,20,150,92,44,22,,BDL,210,145,58,65,16,32,18,383,268.1,8,,0.08,BDL,3.8,0.34,17.75,0.45,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11
1157,River Manjeera,"River Manjeera (tributary of Godavari) - at Raipally, Sangareedy",Sangareddy,6.9,8.1,655,2.4,10,0.04,4.1,34,3.7,7,0.63,,3.6,16,120,84,26,18,,BDL,200,150,50,50,12,50,14,393,275.1,6,,0.07,BDL,2.8,0.35,16.68,0.38,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1781,River Manjeera,"River Manjeera (tributary of Godavari) - at Ganapathi sugars, Sangareddy",Sangareddy,6.6,7.75,692,2.8,11,0.05,8.3,46,4,6.7,0.6,,3.5,24,150,88,30,17,,BDL,225,140,56,85,21,53,16,415,290.5,8,,0.11,BDL,2.5,0.38,16.4,0.41,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2374,River Manjeera,"River Manjeera (tributary of Godavari) - U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu, Sangaredy",Sangareddy,6.7,7.78,1012,3.1,12,0.05,8.1,34,6,7,0.64,,3.8,30,175,155,32,18,,BDL,355,200,90,155,38,92,22,607,424.9,7,,0.14,BDL,3.5,0.32,14.23,0.44,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2375,River Manjeera,"River Manjeera (tributary of Godavari) - D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu, Sangareddy",Sangareddy,6.8,7.51,1432,3.7,16,0.14,6.8,40,4.5,7,0.71,,3.4,20,245,205,40,30,,BDL,490,260,104,230,56,93,32,859,601.3,7,,0.09,BDL,3.9,0.75,16.67,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2349,River Manjeera,"River Manjeera (tributary of Godavari) - Nakka vagu at Bachugudem, Sangareedy",Sangareddy,4.5,7.15,1335,4.6,20,0.12,8.1,94,7.8,4.4,0.46,,4.9,30,220,190,52,32,,BDL,415,245,78,170,42,95,40,801,560.7,12,,0.1,BDL,3.5,0.11,24.83,0.86,BDL,BDL,BDL,BDL,BDL,BDL,0.1,0.06
4226,River Manjeera,"River Manjeera (tributary of Godavari) - River Manjeera at Yedu Payala Temple, Nagsampalli (V), Papannapet (M), Medak District",Medak,6.9,7.89,1195,2.8,14,0.15,4.5,84,2,6.7,0.62,,3.4,24,230,142,36,20,,BDL,355,225,70,130,22,62,28,717,501.9,8,,0.15,BDL,3,0.39,22.01,0.64,BDL,BDL,BDL,BDL,BDL,BDL,0.21,0.12
2372,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - Kinnerasani after confluence of KTPS ash pond effluents ,Bhadradri Kothagudem",Bhadradri Kothagudem ,6.2,8.03,444,1.2,2.5,,Less than 1.8,34,Less than 1.8,,,,7.3,5,135,42,24,1.5,0.4,,142,80,32,62,15.07,24,,266,,11,0.38,,0.5,,0.55,,,,0.0,0.0,0.02,0.01,0.03,0.0,0.22
3080,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - U/s of Karakavagu at Paloncha , Bhadradri Kothagudem",Bhadradri Kothagudem ,6,8.16,452,1.8,2.3,,Less than 1.8,27,Less than 1.8,,,,7,5,150,40,40,1.5,0.4,,155,95,38,60,14.58,26,,269,,12,0.2,,0.5,,0.38,,,,0.0,0.0,0.02,0.0,0.0,0.01,0.19
3081,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - D/s of Karakavagu at Paloncha, Bhadradri Kothagudem",Bhadradri Kothagudem ,6,8.13,430,1.8,2.6,,Less than 1.8,20,Less than 1.8,,,,8.2,5,140,44,40,1.5,0.4,,150,95,38,55,13.37,18,,254,,16,0.2,,0.5,,0.46,,,,0.0,0.0,0.02,0.0,0.0,0.02,0.85
1784,River Krishna ,"River Krishna at Thangadi, Thangadi(V), Krishna(M), Narayanapet(D)",Mahaboobnagar,6,8.32,802,1.8,4.6,,Less than 1.8,41,Less than 1.8,N.A,N.A,N.A,8,15,100,144,36,4.2,0.98,,236,140,56,96,23.33,88,,498,,12,0.63,,0.5,,0.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0039,River Krishna ,"River Krishna at Gadwal bridge,Nadhi Agraharam, Gadwal(Munci.), Jogulamba Gadwal(D)",Mahaboobnagar,6,8.39,812,1.8,4.2,,Less than 1.8,58,Less than 1.8,N.A,N.A,N.A,9,20,112,140,38,1.5,0.4,,265,145,58,120,29.16,89,,502,,16,0.56,,0.5,,0.56,,,,0.0,0.0,0.0,0.01,0.0,0.01,0.09
4225,River Krishna ,"River Krishna at Jogulamba Temple, Alampur(V&M), Jogulamba Gadwal(D)",Jogulamba Gadwal,6,8.33,902,1.8,4.8,,2,70,Less than 1.8,N.A,N.A,N.A,7,15,88,144,34,5.6,0.84,,295,195,78,100,24.3,155,,522,,14,1.12,,0.5,,0.48,,,,0.0,0.0,0.0,0.0,0.0,0.05,0.1
4259,River Krishna ,"River Krishna - Nagarjuna Sagar Dam Spill way, Nagarjuna Sagar (V), Peddavoora (M),Nalgonda",Nalgonda,6.3,8.52,771,2.8,15,0.13,5.5,26,3.6,7,0.71,,3.3,24,155,84,32,22,,BDL,215,130,52,85,26,78,23,463,324.1,7,,0.18,BDL,4,0.34,21.75,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22
4252,River Krishna ,"River Krishna - Udaya Samudram balancing Reservoir, Nalgonda",Nalgonda,6.5,8.13,774,2.6,12,0.14,8.1,40,4,6.5,0.62,,3.6,16,160,121,30,22,,BDL,260,160,54,100,34,55,30,464,324.8,5,,0.17,BDL,3,0.32,25.46,0.78,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.31
1465,River Krishna ,"River Krishna - Confluence of River Krishna & River Musi at Wadapally (V), Damarcharla (M), Nalgonda District",Nalgonda,6.5,8.59,1258,3.8,19,0.22,9.1,32,5.6,6.5,0.67,,3.8,20,250,151,40,32,,BDL,360,240,96,120,30,82,28,755,528.5,7,,0.09,BDL,4,0.41,17.1,0.55,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat, Suryapet",Suryapet,6.6,8.52,1212,3.9,24,0.19,6.8,43,4,7,0.71,,4.3,16,275,159,44,38,,BDL,415,270,88,145,26,85,23,727,508.9,9,,0.1,BDL,3,0.42,15.84,0.47,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24
4250,River Krishna ,"River Krishna - Palair Reservoir, Palair(V), Kusumanchi(M),Khammam(D)",Khammam,6.1,8.01,560,1.6,2,,Less than 1.8,34,Less than 1.8,,,,6.6,5,80,71,32,1.5,0.4,,132,105,42,27,6.56,40,,342,,10,39,,0.5,,0.68,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.13
4251,River Krishna ,"River Krishna - D/s of Munneru River, Prakash Nagar, Khammam",Khammam,5.8,7.76,667,1.8,2.6,,Less than 1.8,41,Less than 1.8,,,,8.5,5,170,81,38,1.5,0.4,,180,110,44,70,17.01,48,,406,,12,0.76,,0.5,,0.62,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.18
5108,River Krishna ,"River Krishna before confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda (D)",Nalgonda,7,8.28,1104,3.2,15,0.13,6,41,4,5.7,0.64,,3.2,20,205,130,30,26,,BDL,340,200,80,140,34,108,28,662,463.4,6,,0.05,BDL,3.2,0.21,19.16,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5109,River Krishna ,"River Krishna after confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.3,8.34,1229,3.2,17,0.17,5.6,40,3.7,6,0.62,,3.6,16,220,146,34,28,,BDL,365,220,68,145,33,88,30,737,515.9,9,,0.09,BDL,4.5,0.72,22.02,0.69,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5110,River Krishna ,"River Krishna at Pulichintala Reservoir at Chinthalapalem (V&M), Suryapet (D)",Suryapet,6.5,8.57,1209,2.6,14,0.17,4.5,40,2,6,0.66,,3.2,28,240,161,36,22,,BDL,365,200,80,165,40,78,31,725,507.5,7,,0.12,BDL,4.6,0.3,19.96,0.66,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4253,River Musi,"River Musi at Bapughat Sangam, Hyderabad",Hyderabad,0.3,7.11,1347,8,4.2,,12,540,6.1,,,,14,5,250,191,102,8.4,2.78,,324,185,74,139,33.78,118,,836,,28,2.63,,0.5,,0.98,,,,0.0,0.0,0.01,0.0,0.02,0.01,0.05
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.05,1469,10,4.8,,20,540,6,N.A,N.A,N.A,28,5,270,188,104,9.8,2.56,,368,195,78,173,42.04,120,,926,,110,3.56,,0.62,,0.99,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.04
2339,River Musi,"River Musi at Nagole, Ranga Reddy",Shamshabad,0.3,7.61,1530,8,5.4,,21,540,8.1,,,,23,5,265,210,72,12.6,3.84,,380,201,80.4,179,43.5,118,,932,,92,3.28,,0.61,,0.96,,,,0.0,0.0,0.01,0.0,0.02,0.05,0.04
4659,River Musi,"River Musi - Outlet of Nalla Cheruvu, Peerajadiguda, Rangareddy",Yadadri Bhuvanagiri,0.3,7.87,1880,16,7.2,,31,902,21,,,,17,5,250,279,243,14,5.28,,472,288,115.2,184,44.71,189,,1162,,36,2.98,,0.5,,0.89,,,,0.0,0.0,0.02,0.0,0.02,0.02,0.02
4660,River Musi,"River Musi at Peerajadiguda, Ranga Reddy",Suryapet,0.3,7.39,1362,14,4.3,,14,540,3.6,,,,10,5,225,199,216,7,2.58,,346,202,80.8,144,34.99,108,,844,,32,2.16,,0.5,,0.77,,,,0.0,0.03,0.02,0.01,0.02,0.12,0.03
1173,River Musi,"River Musi - D/s at Pratapasingaram , Shamshabad",Rangareddy,0.3,6.97,1440,6.2,5.1,,17,540,6.1,,,,27,5,260,201,68,7,1.46,,370,190,76,180,43.74,102,,938,,68,2.56,,0.6,,0.82,,,,0.0,0.0,0.01,0.0,0.03,0.04,0.91
4657,River Musi,"River Musi at Pillaipalli, Rangareddy",Rangareddy-I,1,7.38,1442,5.8,5.2,,17,430,4,,,,14,5,275,191,62,8.4,1.82,,386,199,79.6,187,45.44,112,,972,,34,2.28,,0.64,,0.79,,,,0.0,0.0,0.01,0.0,0.02,0.03,0.8
4254,River Musi,"River Musi at Rudravelly bridge,Yadadri",Yadadri Bhuvanagiri,6.4,8.16,1473,3.4,23,0.17,8.1,84,5.6,6,0.67,,5.8,48,410,180,40,42,,BDL,415,250,108,165,42,114,42,884,618.8,9,,0.11,BDL,4.3,0.12,21.09,0.77,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.4,8.27,1578,3.6,22,0.18,9.2,110,6.1,5.5,0.62,,6.3,28,255,190,42,38,,BDL,480,300,120,180,44,106,35,890,623,10,,0.12,BDL,7.8,0.16,16.37,0.61,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.09
3082,River Musi,"River Musi at Solipet (Kasaniguda), Nalgonda",Suryapet,6.8,8.46,1724,4.2,23,0.09,8.1,63,5.6,6.4,0.71,,6.4,36,270,215,44,36,,BDL,505,300,120,205,50,105,36,904,632.8,12,,0.1,BDL,4,0.12,17.06,0.63,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.17
5106,River Musi,"River Musi at Bheemaram Bridge, Bheemaram (V), Kethepally (M), Nalgonda (D)",Nalgonda,6.2,8.54,2042,3.4,25,0.22,5.6,41,3.6,6.7,0.71,,3.5,36,375,236,44,40,,BDL,560,315,96,245,60,108,48,1225,857.5,12,,0.09,BDL,4.5,0.15,23.72,0.93,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5107,River Musi,"River Musi before confluence of River Krishna at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.6,8.6,1279,3,12,0.14,6.1,40,6,6.5,0.69,,3.9,24,250,192,32,26,,BDL,380,225,90,155,38,72,41,767,536.9,8,,0.09,BDL,4,0.32,23.49,0.83,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1172,Lakes  & Tanks,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",Shamshabad,6.1,7.73,221,1.4,1.8,,Less than 1.8,17,Less than 1.8,,,,7,5,85,14,16,Less than 1.8,Less than 1.8,,102,50,20,52,12.64,6,,132,,14,0.38,,0.5,,0.55,,,,0.0,0.0,0.02,0.0,0.03,0.05,0.1
1215,Lakes  & Tanks,"Thummala cheruvu, Nasampet (V&M), Warangal",Warangal Rural,6,8.01,455,1.8,1.6,,Less than 1.8,21,Less than 1.8,,,,8,5,112,56,31,1.5,0.4,,118,55,22,63,15.31,34,,277,,16,0.2,,0.5,,0.48,,,,0.0,0.0,0.0,0.0,0.02,0.04,0.16
1780,Lakes  & Tanks,"Gandigudem Tank, Gandigudem(V),Ameenpur(M), Sangareddy(D)",Sangareddy,6.5,7.37,1983,6.8,35,0.14,6.1,84,4,6.7,0.63,,9.3,40,260,280,74,66,,BDL,450,310,124,140,34,78,96,1190,833,16,,0.14,BDL,3,BDL,36.32,1.66,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.08
2358,Lakes  & Tanks,"Mallapur Tank , Medchal Malkajgiri",Medchal Malkajgiri,Dreid up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,Lakes  & Tanks,"Asani Kunta,Bollaram(V),Jinnaram(M), Sangareddy(D)",Sangareddy,NIL,6.61,4740,45,43,0.22,9.2,140,6,NIL,NIL,,40,52,585,1150,492,68,,BDL,1705,800,320,905,220,92,108,2844,1990.8,82,,0.23,0.4,28,0.48,16.39,1.13,BDL,BDL,BDL,0.08,BDL,0.13,0.16,2.34
1783,Lakes  & Tanks,"Kistareddypet Tank, Kistareddypet(V),Ameenpur(M),Sangareddy(D)",Sangareddy,Dry in Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,Lakes  & Tanks,"Khazipally Tank,Khazipally(V), Jinnaram(M), Sangareddy(D) Sangareddy",Sangareddy,Dry in Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,Lakes  & Tanks,"Isnapur Tank,Pashamylaram(V), Patancheru (M), Sangareddy District",Sangareddy,6.5,7.48,3990,7.8,42,0.19,8.3,84,4,5,0.46,,10.6,20,410,546,90,68,,BDL,875,500,186,375,92,88,98,1994,1395.8,20,,0.23,BDL,21,BDL,24.12,1.34,BDL,BDL,BDL,BDL,BDL,BDL,0.05,0.21
4302,Lakes  & Tanks,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",Sangareddy,7,7,2398,9,25,0.18,8.1,43,4,5.5,0.55,,10.3,52,410,349,95,46,,BDL,685,350,140,335,82,130,60,1439,1007.3,26,,0.2,BDL,7,0.28,21.23,0.97,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.13
4240,Lakes  & Tanks,"Muthangi Tank (V), Patancheru (M),Sangareddy district",Sangareddy,7.4,7.64,1955,5.2,27,0.23,7.8,40,3.7,5.7,0.54,,7.3,42,360,192,56,48,,BDL,475,260,104,215,52,95,58,1173,821.1,15,,0.21,BDL,12,0.16,25.09,1.06,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4241,Lakes  & Tanks,"Chitkul Tank,Chitkul (V), Patancheru (M), Sangareddy District",Sangareddy,7,7.46,1816,5,33,0.24,6.9,63,4.5,5.7,0.58,,6.5,32,265,278,54,66,,BDL,545,300,120,245,60,92,55,1090,763,18,,0.17,BDL,11,0.22,22.05,0.94,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
