Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3074,Lakes  & Tanks,"Banjara Lake (Anantagani kunta), Banjara Hills, Hyderabad",Hyderabad,0.3,7.31,1169,6.8,2.9,,21,430,4,,,,28,5,280,128,63,7,2.26,0.03,375,185,74,190,46.17,92,,714,,44,2.68,,0.5,,0.84,,
4224,Lakes  & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes  & Tanks,"Pedda Cheruvu (Nacharam cheruvu), Uppal",Ranga Reddy,Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes  & Tanks,"Saki Tank, Patancheru (V & M), Sangareddy District",Sangareddy,6.8,7.28,768,3.24,20,0.09,6,41,5.6,,,,3.74,24,150,91,36,29,0.4,0.01,205,115,46,90,21.87,54,34,460,320,10,,0.12,0.5,2,0.25,32.82,0.96
4237,Lakes  & Tanks,"Mundla Katwa,Moosapet(V), Kukatpally (M),Medchal - Malkajgiri (D)",RR-shamshabad,0.3,8.28,1316,10,3.8,,24,540,4,,,,33,10,275,165,107,5.6,1.48,0.15,295,165,66,130,31.59,92,,830,,78,2.24,,0.5,,0.95,,
4667,Lakes  & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,0.3,7.43,1832,6.5,3.8,,21,540,4,,,,24,5,450,262,63,9.8,2.86,0.04,470,235,94,235,57.1,163,,1154,,48,2.64,,0.5,,1.06,,
4668,Lakes  & Tanks,"Chinnarayana Cheruvu, Alwal (V&M), Medchal- Malkajgiri (D)",Medchal Malkajgiri,0.3,7.86,1586,6,3.5,,20,540,4,,,,18,5,355,181,152,9.8,2.46,0.08,370,160,64,210,51.03,119,,968,,32,3.14,,0.5,,0.86,,
4669,Lakes  & Tanks,"Gangaram Pedda Cheruvu, Gangaram(V), Serlingampally (M), Rangareddy District",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes  & Tanks,"Medi Kunta, Guttala begumpet (V), Serlingampally (M), Rangareddy District",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes  & Tanks,"MediKunta , Nanakramguda (V), Serilingampally (M), Rangareddy District",Rangareddy,4.2,7.5,979,2.8,2.6,,24,540,2,,,,13,5,232,140,31,5.6,0.64,0.01,335,140,56,195,47.38,94,,588,,20,0.94,,0.5,,0.9,,
4673,Lakes  & Tanks,"Meedi Kunta (BK Enclave lake), Madeenaguda (V), Serlingampally (M), Rangareddy District",Rangareddy,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes  & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally (M), Rangareddy District",Rangareddy,5.8,7.57,613,2.4,1.8,,7.8,430,2,,,,8,5,130,71,20,4.2,0.82,0.02,140,65,26,85,18.22,48,,374,,17,0.63,,0.5,,0.68,,
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (M), Medchal- Malkajgiri (D)",Medchal Malkajgiri,0.3,7.87,1475,12,3.2,,24,430,5.5,,,,21,5,360,188,139,5.6,3.88,0.13,380,175,70,205,49.81,109,,898,,41,2.98,,0.66,,1.08,,
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur(M), Medchal-Malkajgiri District",Medchal Malkajgiri,0.3,7.6,1633,9,3.2,,17,430,3.6,,,,21,5,390,230,87,8.4,3.84,0.09,420,230,92,190,46.17,143,,996,,34,3.48,,0.5,,1.02,,
4678,Lakes  & Tanks,"Patel Cheruvu, Nacharam (V), Uppal (new Mandal), Medchal- malkajigiri",Rangareddy,0.3,8.17,1265,12,3.8,,26,540,6,,,,15,5,285,142,135,7,1.98,0.15,310,165,66,145,35.23,85,,796,,75,2.53,,0.5,,1.01,,
4679,Lakes  & Tanks,"Bomrukud-Dowla Lake(HUDA Park Lake ), Bumruknudowla (V), Rajendranagar (M), Rangareddy (D)",Rangareddy,0.3,8.21,2316,14,4.9,,12,430,4,,,,20,10,460,341,152,9.8,3.62,0.3,545,225,90,320,77.76,210,,1412,,23,3.4,,0.5,,1.06,,
4683,Lakes  & Tanks,"Pedda Cheruvu, Madikonda (V), Khazipet (M), Hanumakonda, Warangal",Warangal,5.2,8.05,776,4,2.8,,2,350,Less than 1.8,,,,5.2,5,170,100,40,4.2,0.96,0.06,190,95,38,95,23.09,65,,486,,10,1.04,,0.5,,0.76,,
4684,Lakes  & Tanks,"Campus Lake, ICRISAT, Kachireddi Pally (V), Ramachandrapuram (M),Sangareddy District",Sangareddy,6.5,8.25,617,4.5,10,0.12,5.9,76,5.6,,,,5.2,16,105,62,50,20,0.4,0.01,160,100,40,60,15,32,11,337,239,10,,0.16,0.5,2,0.4,15.79,0.33
4685,Lakes  & Tanks,"Surisigal Lake, ICRISAT, Ramachandrapuram (V&M), Sangareddy District",Sangareddy,5.6,8.32,900,3.42,20,0.16,7.8,118,6.8,,,,3.95,36,165,101,38,35,0.4,0.01,265,165,66,100,24.3,75,28,541,384,10,,0.12,0.5,2,0.36,22.95,0.66
4686,Lakes  & Tanks,"ICRISAT Lake,ICRISAT, Manmole (V), Ramachandrapuram (M), Sangareddy District",Sangareddy,8,8.23,875,4.32,18,0.17,7.4,98,6.1,,,,4.99,28,180,86,48,40,0.4,0.01,230,130,52,100,24.3,41,18,476,337.96,10,,0.17,0.5,2,0.21,18.76,0.48
4687,Lakes  & Tanks,"Red Lake, ICRISAT, Ramachandrapuram (M), Sangareddy District",Sangareddy,4.8,7.83,1074,5.58,30,0.13,8.3,129,6.1,,,,6.45,32,170,181,62,65,0.4,0.01,385,230,92,155,37.66,63,20,640,450,10,,0.18,0.5,5,0.32,12.7,0.4
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille Hills, Hyderabad",Hyderabad,1.8,7.01,427,5.4,1.8,,6,210,Less than 1.8,,,,24,5,115,49,51,2.8,0.4,0.01,130,55,22,75,18.22,33,,260,,36,0.94,,0.5,,0.78,,
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet (V&M), Hyderabad (D)",Hyderabad,0.3,7.69,993,6.4,3.3,,12,350,2,,,,11,5,220,145,78,5.6,1.54,0.03,255,160,64,95,23.09,91,,616,,18,1.28,,0.5,,0.94,,
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal, Medchal - Malkajgiri District",RR-shamshabad,0.3,7.81,1269,10.8,4.6,,34,540,4,,,,26,5,285,138,103,8.4,1.12,0.04,295,205,82,90,21.87,88,,798,,36,2.42,,0.5,,1.12,,
4692,Lakes  & Tanks,"Ramanthapur Pedda Cheruvu, Ramanthapur, Medchal - Malkajgiri District",Medchal Malkajgiri,0.3,7.58,966,14,3.4,,12,350,2,,,,8,5,190,137,206,4.2,1.28,0.03,220,135,54,85,20.66,91,,578,,10.8,1.24,,0.5,,0.99,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madinaguda(V), Serlingampally (M), Rangareddy (D)",Medchal Malkajgiri,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,"4237 & 4694 - Mundlakaatwa, was same Sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V&M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V&M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,1.8,7.39,1569,5.6,3.8,,15,430,15,,,,17,5,390,167,52,7,1.32,0.02,400,210,84,190,46.17,106,,958,,28,2.54,,0.5,,0.96,,
4697,Lakes  & Tanks,"Mukkidi Cheruvu, Malkajigri (V&M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal (M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,0.3,8.2,1673,8,3.6,,17,540,4,,,,7.6,5,405,220,84,8.4,1.84,0.13,440,280,112,160,38.88,167,,1036,,18,2.73,,0.5,,0.96,,
