Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
4302,Lakes & Tanks,Rudraram Tank,6.7,6.9,2910,4.4,85,0.26,6.1,27,3.7,5.6,0.56,,10,46,395,397,73,18,4,BDL,725,435,174,290,71,110,194,1600.5,1136.36,15,,0.28,BDL,15,0.32,35.99,2.83,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14,
4240,Lakes & Tanks,"Muthangi Tank,",5.2,7.24,1757,4.5,48,0.16,8.2,39,3.6,5.8,0.53,,8.6,32,320,195,74,15,4,BDL,400.49,240.0,96.0,160.49,39,69,130,966.35,686.11,14,,0.26,BDL,12.5,BDL,40.31,2.54,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4241,Lakes & Tanks,"Chitkul Tank,",5.1,6.7,2457,4.3,65,0.26,6.8,79,4.5,5.6,0.57,,7.4,42,270,387,77,14,3,BDL,725,395,158,330,80,95,125,1351.35,959.46,20,,0.28,BDL,10.9,0.41,26.8,1.92,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4242,Lakes & Tanks,"Lakadaram Cheruvu,",5.7,6.9,2448,4.7,68,0.3,8.2,39,5.6,5.4,0.59,,6.3,38,320,376,62,12,3,BDL,755,425,170,330,80,93,122,1346.4,955.94,14,,0.18,BDL,10.6,0.3,25.57,1.81,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24,
4238,Lakes & Tanks,"Ameenpur Cheruvu,",6.6,7.16,1613,3.2,68,0.23,7.8,84,6,5.6,0.57,,10,24,340.0,255,31,8,BDL,BDL,630.0,390.0,156.0,240,58,62,71,887.15,629.88,14,,0.2,BDL,14.2,0.3,19.19,1.09,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06,
4239,Lakes & Tanks,"Mahaboobsagar Tank,",7,7.36,1405,4.1,45,0.22,6,79,5.5,5.1,0.55,,4.7,26,324,174.24,60,10,BDL,BDL,460.0,260.0,104.0,200,49,64,89,772.75,548.65,12,,0.14,BDL,8.1,0.35,28.96,1.68,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11,
4244,Lakes & Tanks,"Erdanoor Tank,",7.1,7.27,2049,4.4,49,0.23,6,41,3.6,5.6,0.54,,4.3,28,188,452,57,12,BDL,BDL,710.0,400.0,160.0,310,75,72,85,1126.95,800.13,12,,0.15,BDL,6.5,0.21,20.4,1.3,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4245,Lakes & Tanks,"Mallepally Tank,",6.6,7.28,2647,5.1,70,0.18,Less than 1.8,23,1.8,4.8,0.44,,4.6,26,240.0,582.12,88,12,BDL,BDL,555.1,230.0,92.0,325.1,79,132,251,1455.85,1033.65,20,,0.21,BDL,12.1,0.36,48.71,5.0,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4661,Lakes & Tanks,Peddakanjarla Tank,6.9,6.79,686,3,26,0.06,Less than 1.8,23,Less than 1.8,5.1,0.54,,2.1,10,185,128,23,5,BDL,BDL,315,185,74,130,32,29,33,452.76,321.46,5,,0.13,BDL,6,0.16,18.04,0.74,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4666,Lakes & Tanks,Ismailkhanpet Tank,6.4,6.69,1319,4,46,0.1,2,25,1.8,6.1,0.55,,4.3,18,176,225.72,48,8,BDL,BDL,415.19,230.0,92.0,185.19,45,59,86,725.45,515.07,7,,BDL,BDL,8.9,0.41,30.36,1.72,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
