Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4233,Lakes & Tanks,"Gaddapotharam cheruvu,",Sangareddy,6,6.92,2466,4.4,50,0.25,4,38,3.6,,,,6.5,18,320,400,50,3,BDL,BDL,616,540,216,76,18,72,90,1490,890,40,,0.18,BDL,34,0.26,22.94,1.58
4228,Lakes & Tanks,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,2.6,7.28,823,4,16.4,,17,350,2,,,,16,5,150,105,64,7.84,3.92,,165,90,36,75,18.22,70,,510,340,24,3.86,,0.5,,0.64,#,#
1391,Lakes & Tanks,Hussain sagar Lake,Hyderabad,0.3,7.19,1053,8,3.6,,26,350,2,,,,22,5,210,135,84,9.52,3.36,,230,110,44,120,29.16,74,,652,420,16,4.86,,0.5,,0.83,#,#
3071,Lakes & Tanks,Langarhouse lake,Hyderabad,0.3,7.34,870,6.2,12.8,,49,430,2.8,,,,17,5,200,94,84,5.04,2.24,,210,115,46,95,23.09,53,,505,400,15,3.62,,0.5,,0.87,#,#
2341,Lakes & Tanks,Miralam tank,Hyderabad,1.8,6.96,1170,6.2,2.3,,47,540,2,,,,19,5,270,135,62,11.2,5.04,,245,140,56,105,25.52,94,,702,520,16,3.8,,0.5,,0.76,#,#
3073,Lakes & Tanks,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,0.3,7.04,702,6.2,4.9,,21,350,4,,,,20,5,160,78,92,9.52,3.36,,180,105,42,75,18.22,46,,452,280,62,4.26,,0.5,,0.69,#,#
3072,Lakes & Tanks,Safilguda lake,Medchal Malkajgiri,4,7.07,849,3.2,3.8,,32,540,6.1,,,,32,5,230,84,24,12.32,3.9,,240,125,50,115,27.95,52,,520,400,48,3.2,,0.5,,0.52,#,#
3075,Lakes & Tanks,Rangadhamuni cheruvu,Medchal Malkajgiri,0.3,7.03,576,10,7.3,,22,350,2,,,,27,5,120,64,131,5.6,2.24,,130,90,36,40,9.72,43,,362,240,28,3.72,,0.5,,0.71,#,#
3076,Lakes & Tanks,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,4,7,780,5,5.5,,26,350,2,,,,13,5,165,102,44,8.4,2.24,,180,115,46,65,15.79,58,,453,320,68,4.01,,0.5,,0.22,#,#
3077,Lakes & Tanks,"Kapra cheruvu, Kapra",Medchal Malkajgiri,5,6.95,774,1.8,5.2,,17,350,Less than 1.8,,,,12,5,160,98,24,4.48,1.68,,180,105,42,75,18.22,56,,452,300,22,2.72,,0.5,,0.54,#,#
