Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4703,Lakes & Tanks ,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,0.3,6.86,597,14,3.2,,17,280,4,,,,6,5,115,76,168,9.8,6.1,,140,92,0,48,34.02,54,,370,,12,2.92,,0.5,,0.38,,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,0.3,7.09,1299,3.8,4.4,,21,350,3.6,,,,15,5,346,190,52,8.96,4.05,,350,210,0,140,85.05,68,,818,,20,2.36,,0.5,,0.89,,
5029,Lakes & Tanks ,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,3.3,6.79,633,2,4,,11,210,4.8,,,,10,5,140,92,24,6,1.4,,156,96,0,60,37.91,32,,398,,16,1.26,,0.52,,1.02,,
5030,Lakes & Tanks ,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,0.3,7.83,1220,6,5,,12,430,2,,,,1.8,5,190,176,42,10,1.4,,292,150,0,142,70.96,109,,768,,14,2.2,,0.5,,1.18,,
5031,Lakes & Tanks ,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,"not collected ,by RO-HYD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes & Tanks ,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,0.3,6.8,916,8,4.86,,4,220,2,,,,14,5,210,105,84,5.6,1.98,,235,115,0,120,57.1,64,,576,,16,2.18,,0.5,,1.18,,
5033,Lakes & Tanks ,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,not collected by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes & Tanks ,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,1.2,7.85,1076,2,6,,17,210,Less than 1.8,,,,14,5,168,154,20,14,2,,252,161,0,91,61.24,102,,668,,20,1.82,,0.6,,1.19,,
5035,Lakes & Tanks ,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,1.2,7.74,1096,2,9,,15,350,3.7,,,,13,5,192,158,16,12,2.6,,246,156,0,90,59.78,98,,680,,11,2.92,,0.5,,1.46,,
5036,Lakes & Tanks ,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,not submitted by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,Lakes & Tanks ,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.12,1209,6,3.6,,33,540,2.1,,,,21,5,195,182,68,5.6,1.4,,205,110,0,95,49.81,98,,726,,33,4.2,,0.5,,1.08,,
5038,Lakes & Tanks ,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,not submitted by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,Lakes & Tanks ,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,4.2,6.91,1170,2,6,,21,350,2,,,,14,5,224,182,24,8,2.2,,284,178,0,106,69.01,72,,748,,22,2.82,,0.62,,1.22,,
5040,Lakes & Tanks ,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,6.96,1338,12,10,,14,350,2,,,,8,5,228,196,124,11.2,5,,352,224,0,128,85.54,122,,856,,24,8.64,,0.52,,0.32,,
5041,Lakes & Tanks ,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.22,1146,5,6.6,,17,240,2,,,,23,5,186,172,62,15.4,2.2,,276,178,0,98,67.07,110,,722,,20,3.18,,0.5,,0.62,,
5042,Lakes & Tanks ,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,6.92,1045,6,6.6,,21,540,4.5,,,,15,5,260,97,56,8.96,4.05,,256,140,0,116,62.21,73,,658,,20,2.46,,0.5,,1.12,,
5043,Lakes & Tanks ,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,6.22,988,6,5.6,,23,35,3.6,,,,8,5,220,140,50,5.6,1.42,,226,128,0,98,54.92,68,,612,,12,2.14,,0.5,,1.02,,
5044,Lakes & Tanks ,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,0.3,6.77,702,6,4.6,,49,430,4,,,,12,5,125,88,66,2.8,1.4,,140,75,0,65,34.02,66,,430,,18,4.2,,0.5,,1.12,,
5045,Lakes & Tanks ,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.04,1004,6,3.2,,39,430,2,,,,15,5,185,126,56,5,2.8,,195,105,0,90,47.38,92,,602,,28,4.4,,0.5,,0.99,,
5046,Lakes & Tanks ,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,5.4,6.94,482,1.8,2.6,,12,40,2,,,,6,5,116,54,20,1.5,0.4,,110,68,0,42,26.73,30,,300,,10,1.12,,0.5,,0.89,,
5047,Lakes & Tanks ,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,4.6,6.49,368,1.8,3.4,,Less than 1.8,210,Less than 1.8,,,,6,5,92,44,24,2.24,0.4,,94,54,0,40,22.84,30,,234,,10,0.97,,0.5,,0.85,,
5048,Lakes & Tanks ,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,not collected due to water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,
5049,Lakes & Tanks ,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,"Not collected,due to no access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes & Tanks ,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,1.2,8.06,886,3,5.2,,17,350,2,,,,9,5,215,102,36,5.6,1.49,,230,140,0,90,55.89,52,,558,,18,2.48,,0.5,,0.92,,
5051,Lakes & Tanks ,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.15,716,6,3,,33,430,2,,,,13,5,145,102,52,4.2,2.8,,180,110,0,70,43.74,88,,442,,21,3.22,,0.5,,0.98,,
5052,Lakes & Tanks ,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,4.4,7.12,399,1.2,3.6,,31,280,6.1,,,,28,5,64,58,18,9.8,4.4,,96,62,0,34,23.33,38,,238,,20,2.1,,0.52,,0.28,,
5053,Lakes & Tanks ,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,2.3,7.16,583,4,3.3,,20,540,4,,,,26,5,128,69,44,8.4,5,,146,96,0,50,35.48,44,,362,,26,2.81,,0.5,,0.48,,
