Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4668,Lakes  & Tanks,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,,0.3,7.54,1508,10,2.27,,46,540,9.2,,,,42,5,320,184,120,19.6,6.72,,360,76,190,41.31,170,114,,934,620,36,4.66,2.14,0.5,,0.85,,
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,,0.3,10.17,1864,8,9.4,,49,540,9.3,,,,40,15,410,216,90,16.8,7.28,,265,56,140,30.38,125,134,,1140,740,32,3.92,1.62,0.5,,0.44,,
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,,0.3,7.73,1083,8,5.28,,47,540,9.3,,,,29,5,180,152,84,12.88,4.48,,240,54,135,25.52,105,100,,694,460,22,2.96,0.78,0.5,,0.97,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,,3.3,7.61,1079,3,4.41,,21,350,4,,,,22,5,260,140,56,8.96,3.36,,320,74,185,32.8,135,97,,668,440,18,4.26,2.14,0.5,,0.91,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,,0.3,7.51,1550,12,1.78,,24,350,9.2,,,,20,5,360,188,157,15.2,5.6,,400,104,260,34.02,140,124,,946,630,16,3.84,1.18,0.5,,0.52,,
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,"lake covered with mud,and alagae, other macrophytes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,,0.3,7.55,1724,10,0.3,,32,350,9.2,,,,30,5,440,202,157,12.88,6.16,,475,104,260,52.24,215,142,,1068,710,24,4.16,2.12,0.5,,0.5,,
5036,Lakes  & Tanks,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.3,654,8,2.03,,14,280,2,,,,15,5,190,64,84,11.2,3.36,,180,44,110,17.01,70,32,,412,270,12,3.76,1.56,0.5,,0.77,,
5037,Lakes  & Tanks,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
