Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,5.6,7.92,418,20,3,0.96,Not Analysed,Less than 2,26,,,,12,BDL,122,49,20,Less than 1,Not Analysed,,135,38,9.72,26,38,259,Not Analysed,10,Less than 0.01,Not Analysed,Less than 0.01,2,0.13,37.43,1.42
4250,River Krishna ,"Palair Reservoir, Khammam",5.4,7.25,388,12,3,0.81,Not Analysed,Less than 2,20,,,,8,BDL,128,40,12,Less than 1,Not Analysed,,142,38.4,11.18,26,30,246,Not Analysed,10,Less than 0.01,Not Analysed,Less than 0.01,4,Less than 0.01,30.63,1.09
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",5,7.84,564,20,4,1.92,Not Analysed,Less than 2,26,,,,18,BDL,162,58,20,Less than 1,Not Analysed,,175,32,23.09,38,48,358,Not Analysed,14,Less than 0.01,Not Analysed,Less than 0.01,4,0.46,36.53,1.57
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Less than  0.1,7.41,1643,127,33,11,0.3,350,920,,,,37,Less than 1,526,214,127,63,,0.24,392,98,36,88,132,1092,772,92,4.1,,Less than 0.01,32,Less than 0.01,39.69,2.89
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Less than  0.1,7.52,1317,341,66,0.5,Less than 0.01,920,Greater than  1600,,,,21,Less than 1,462,152,341,73,,0.24,308,82,25,85,106,921,662,102,3.2,  ,Less than 0.01,16,Less than 0.01,41.14,2.62
2339,River Musi,River Musi at Nagole,Less than  0.1,7.26,1322,190,43,10,Less than 0.01,540,Greater than  1600,,,,30,Less than 1,452,162,190,82,,0.19,332,75,35,70,102,906,596,110,0.61,,Less than 0.01,22,Less than 0.01,38.02,2.43
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Less than  0.1,7.34,1514,131,32,3,Less than 0.01,350,1600,,,,7,Less than 1,842,182,131,58,,0.2,424,98,44,13,96,1052,694,72,2.1,,Less than 0.01,26,Less than 0.01,31.13,2.02
4660,River Musi,River Musi at Peerajadiguda,Less than  0.1,7.47,1430,122,29,6,Less than 0.01,1600,Greater than  1600,,,,27,Less than 1,448,146,122,78,,0.21,352,77,39,49,122,986,628,122,3.5,,0.03,17,Less than 0.01,41.31,2.82
1173,River Musi,D/s. of Musi at Pratapasingaram,Less than  0.1,7.43,1351,119,28,10,Less than 0.01,540,Greater than  1600,,,,22,Less than 1,426,138,119,65,,0.27,339,78,35,72,98,926,641,96,2.8,,Less than 0.01,28,Less than 0.01,36.12,2.31
4657,River Musi,River Musi at Pillapalli,Less than  0.1,7.72,1438,83,22,15,0.52,430,1600,,,,20,Less than 1,482,172,83,41,,0.16,372,64,52,60,129,1004,706,48,2.5,,0.01,16,Less than 0.01,41.39,2.89
