Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
2340,Lakes & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,2.3,7.28,1410,4,11.8,,32,430,4,,,,24,5,340,158,63,9.52,6.7,,380,84,210,41,170,89,#,790,670,22,1.65,,0.5,,1.14,#,#,,
4229,Lakes & Tanks,Neknampur Lake,RR-shamshabad,0.3,7.3,1266,10,13.2,,39,540,6.1,,,,28,5,250,184,138,11.2,5.6,,395,80,200,47,195,67,#,820,640,26,3.72,,0.5,,1.35,#,#,,
1780,Lakes & Tanks,Gandigudem Tank,Sangareddy,5.8,8.04,1684,4,45,0.15,5.6,63,3.7,,,,7.8,18,290,300,40,6,BDL,BDL,530,124,310,53,220,72,75,1036,725,10,,0.24,BDL,8,0.12,23.33,1.42,,
2347,Lakes & Tanks,Asani Kunta,Sangareddy,NIL,6.85,5648,56,108,0.52,9.3,94,5.7,,,,49,36,850,1000,520,40,10,BDL,1805,450,1125,165,680,225,185,3474,2431,45,,0.3,0.4,76,0.34,17.53,1.9,,
1783,Lakes & Tanks,Kistareddypet Tank,Sangareddy,6.7,7.6,1286,4,30,0.12,8.2,33,4.5,,,,8.1,16,310,220,40,5,BDL,BDL,435,90,225,51,210,70,75,791,554,8,,0.21,BDL,7,0.13,26.96,1.57,,
2348,Lakes & Tanks,Khazipally Tank,Sangareddy,6.9,7.18,765,3.1,15,0.12,4.5,23,3.6,,,,2,8,120,105,18,3,BDL,BDL,225,56,140,21,85,31,30,413,289,4,,0.13,BDL,2,BDL,22.25,0.87,,
1215,Lakes & Tanks,Madannapet Lake,Warangal Rural,6.1,7.82,312,1,1.1,,Less than 1.8,33,Less than 1.8,,,,12,5,90,37,12,1.5,0.4,,110,24,60,12,50,16,#,180,100,10,0.3,,0.5,,0.33,#,#,,
3068,Lakes & Tanks,Ramappa lake,Mulugu,6.2,7.48,358,1,1.1,,Less than 1.8,34,Less than 1.8,,,,12,5,95,34,8,1.5,0.4,,110,24,60,12,50,26,#,222,150,10,0.52,,0.5,,0.35,#,#,,
1447,Lakes & Tanks,Dharmasagar tank,Warangal,6.1,7.57,322,1,2.8,,Less than 1.8,24,Less than 1.8,,,,8,5,65,44,4,1.5,0.4,,75,16,40,9,35,32,#,210,170,10,0.73,,0.5,,0.59,#,#,,
2346,Lakes & Tanks,Bhadrakali cheruv,Warangal Urban,5.2,6.95,731,1.6,1.6,,Less than 1.8,49,Less than 1.8,,,,13,5,195,91,22,1.5,0.4,,225,46,115,27,110,32,#,446,310,10,0.67,,0.5,,0.44,#,#,,
