Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,0.3,7.93,869,10,3.2,,10,350,1.8,,,,15.4,5,170,118,115,4.2,1.34,0.06,215,130,52,85,20.66,71,,530,,22,2.4,,0.61,,0.62,,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,0.3,7.31,1112,7,3.06,,31,540,3.6,,,,18.2,5,210,164,63,7,1.08,0.01,265,160,64,105,25.52,78,,678,,26,1.04,,0.61,,1.02,,
4692,Lakes & Tanks ,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,0.3,7.17,982,14,2.8,,11,350,1.8,,,,15.4,5,188,140,142,4.2,1.12,0.01,240,145,58,95,23.09,87,,588,,22,1.42,,0.5,,0.78,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,0.3,7.66,1350,12,3.6,,10,590,3.7,,,,23.1,5,320,147,111,8.4,1.34,0.04,345,210,84,135,32.8,80,,864,,33,1.94,,0.5,,1.03,,
4694,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",RR-shamshabad,Mundla Katwa Lake - 4237 Sample was same as Mullakatwa Cheruvu Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,0.3,7.55,1444,10,4.8,,12,430,4,,,,16.8,5,285,189,127,5.6,1.18,0.03,355,210,84,145,35.23,112,,908,,24,2.46,,0.5,,1.26,,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,0.3,7.32,1305,12,3.2,,11,430,3.6,,,,15.4,5,240,166,115,5.6,1.12,0.01,340,205,82,135,32.8,132,,796,,22,2.65,,0.5,,0.86,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,5.6,7.66,552,1,1.96,,14,220,1.8,,,,11.2,5,125,61,12,2.8,0.64,0.02,135,75,30,60,14.58,42,,355,,16,1.16,,0.5,,0.64,,
