Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4662,River Godavari,River godavari Kaleshwaram,6.2,7.84,510,1.4,0.14,,Less than 1.8,14,Less than 1.8,,,,1,5,135,48,20,1.5,0.4,,145,80,32,65,15.79,36,,316,200,10,0.2,,0.5,,0.2,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.76,360,1.4,0.6,,Less than 1.8,20,Less than 1.8,,,,1,5,100,36,20,1.5,0.4,,110,55,22,55,13.37,24,,220,140,12,0.21,,0.5,,0.2,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6.2,8.03,354,1.4,0.3,,Greater than 1.8,25,Less than 1.8,,,,2,5,110,28,27,1.5,0.4,,120,52,20.8,68,16.52,19,,220,120,14,0.2,,0.5,,0.2,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.1,7.45,386,1.4,2.3,,4,41,Less than 1.8,,,,3,5,105,39,27,2.8,1.1,,115,60,24,55,13.37,21,,240,180,16,0.42,,0.5,,0.2,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,6,7.81,366,2,1.62,,6,63,Less than 1.8,,,,5,5,100,36,16,5.6,1.6,,105,65,26,40,9.72,22,,220,140,12,0.2,,0.5,,0.2,,
2369,River Godavari,River Godavari at Burgampahad,6.1,7.79,462,1,2.12,,Less than 1.8,34,Less than 1.8,,,,4,5,120,48,12,2.8,0.4,,130,70,28,60,14.58,29,,290,180,14,0.36,,0.5,,0.78,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",6.2,7.71,450,1.8,1.82,,12,40,Less than 1.8,,,,2,5,110,48,27,5.6,2.2,,125,70,28,55,13.37,32,,290,180,12,0.2,,0.5,,0.2,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",6.1,7.63,402,1.8,2.1,,10,58,Less than 1.8,,,,3,5,100,42,12,8.4,1.6,,110,65,26,45,10.94,30,,240,150,11,0.2,,0.5,,0.2,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,5.8,7.52,798,2.4,2.24,,Less than 1.8,43,Less than 1.8,,,,3,5,170,96,35,5.6,1.1,,180,115,49,65,15.79,58,,492,300,13,0.34,,0.5,,0.56,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,4.4,8.4,764,2.4,0.1,,Less than 1.8,46,Less than 1.8,,,,1,5,160,94,12,1.5,0.4,,170,115,46,55,13.37,62,,474,300,11,0.2,,0.5,,0.2,,
1158,River Maneru / Manair,River Maneru at Somanpally,6,7.61,642,2.4,2.16,,Less than 1.8,84,Less than 1.8,,,,2,5,110,99,24,2.8,0.5,,160,110,44,50,12.15,48,,406,260,10,0.2,,0.5,,0.38,,
4258,River Manjeera,"Singoor Dam Reservoir,",7.5,8.17,559,3,24,0.05,3.6,17,Less than 1.8,,,,3.3,22,142,84,28,8,,,185,110,44,75,18,45,34,386,270.2,8,,0.11,BDL,3.3,0.12,28.09,0.99
1157,River Manjeera,River Manjeera at Raipally,7.6,7.98,592,3.2,27,0.06,4.5,39,3.7,,,,3.2,14,128,98,34,8,,,200,120,48,80,19,44,33,361.12,252.78,9,,0.09,BDL,4.1,0.21,25.98,0.92
1781,River Manjeera,Manjeera at Ganapathi sugars,6.3,8.3,820,3.4,25,0.06,8.1,49,4.5,,,,3.1,22,145,96,35,10,,,230,145,58,85,21,54,24,492,344.4,8,,0.12,BDL,3.2,0.31,18.07,0.61
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.5,7.3,924,3.5,30,0.06,6.8,31,6,,,,3.5,26,175,134,40,12,,,320,210,84,110,26,74,29,563.64,394.55,8,,0.14,BDL,3.7,0.29,16.33,0.61
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,6.2,7.32,1286,3.5,26,0.1,6.8,38,4.5,,,,3.2,26,228,220,42,10,,,475,260,104,215,52,84,34,784.46,549.12,9,,0.13,BDL,4.5,0.71,13.29,0.64
2349,River Manjeera,Nakka vagu at Bachugudem,5.1,7.5,1498,3.9,36,0.12,7.8,84,6.5,,,,5.1,30,232,225,44,9,,,435,235,94,200,49,96,45,899,629.3,7,,0.21,BDL,5.3,0.16,17.99,0.9
