Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l)
5049,Lakes  & Tanks,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up,,,,,,,,
5050,Lakes  & Tanks,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,2.9,7.29,1310,1.8,1.2,,46,430,9.2,,,,20,5,296,179,32,12.88,4.48,,435,112,280,37.66,155,122,,812,540,14,2.52,7.74,0.5,,1.2,,,0.02,0.03,0.2,0.1,0.1,0.03,1.1,0.0,0.54
5051,Lakes  & Tanks,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.43,1580,6,1.9,,49,540,9.3,,,,32,5,360,228,68,19.04,8.4,,415,118,295,29.16,120,148,,996,680,28,3.14,9.64,0.5,,0.6,,,0.02,0.03,0.17,0.08,0.1,0.03,0.06,0.0,0.02
5111,Lakes  & Tanks,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Medchal Malkajgiri,,0.3,7.4,1574,8,2.5,,40,540,6.8,,,,36,5,310,257,105,18.48,6.16,,510,116,290,53.46,220,162,,976,660,24,1.96,6.02,0.5,,1.17,,,0.02,0.03,0.1,0.06,0.1,,0.06,0.0,0.13
5112,Lakes  & Tanks,"Kamuni Cheruvu, Kukatpally",Medchal Malkajgiri,,0.3,6.89,1708,12,3,,47,540,9.3,,,,24,5,268,280,185,21.28,8.4,,335,110,275,14.58,60,230,,1084,740,20,2.9,8.9,0.5,,0.93,,,0.02,0.03,0.1,0.14,0.1,0.34,0.36,0.0,0.02
4675,Lakes  & Tanks,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,,2.8,7.14,714,4,1.9,,17,350,4.5,,,,15,5,140,120,36,10.08,4.48,,180,54,135,10.94,45,66,,442,300,12,3,9.21,0.5,,0.46,,,0.02,0.03,0.12,0.14,0.1,0.16,0.4,0.0,0.38
4667,Lakes  & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,,0.3,7.12,2030,14,2.3,,49,540,9.3,,,,28,5,280,319,260,14,5.6,,530,122,305,54.67,225,206,,1238,840,26,2.92,8.96,0.6,,1.4,,,0.02,0.03,0.17,0.06,0.1,0.05,1.64,0.0,0.62
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",Hyderabad,,3,6.78,389,2.2,2.6,,11,280,2,,,,16,5,120,40,48,7.28,3.92,,190,52,130,14.58,60,26,,248,170,12,2.72,8.35,0.5,,0.62,,,0.02,0.03,0.1,0.06,0.1,0.08,6.1,0.0,0.08
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,,0.8,7.48,675,4,2.2,,21,350,4,,,,22,5,165,88,42,12.88,5.6,,215,50,125,21.87,90,31,,420,270,16,3.62,11.11,0.5,,0.65,,,0.02,0.03,0.17,0.06,0.1,0.04,0.4,0.0,0.38
5029,Lakes  & Tanks,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not collected,,,,,,,,
5030,Lakes  & Tanks,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,,5.3,7.63,1118,3.7,17,,17,350,4.5,,,,34,5,220,152,48,48,11.2,,300,78,195,25.52,105,98,,704,470,30,2.24,6.88,0.5,,0.43,,,0.02,0.03,0.1,0.06,0.1,0.05,3.1,0.0,0.12
5031,Lakes  & Tanks,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dried up,,,,,,,,
5032,Lakes  & Tanks,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,,2.8,7.49,1395,2,2.5,,22,430,9.3,,,,26,5,300,186,89,14,5.6,,345,110,275,17.01,70,121,,880,590,22,2.78,8.53,0.5,,0.39,,,0.02,0.03,0.12,0.06,0.1,0.04,4.47,0.0,0.17
5033,Lakes  & Tanks,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,lake covered with echornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lake covered with echornia,,,,,,,,
5034,Lakes  & Tanks,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,,5.4,7.45,1022,5.4,17,,22,430,9.3,,,,26,5,280,122,89,14,5.6,,345,110,275,17.01,70,72,,620,590,22,2.78,8.53,0.5,,0.39,,,0.02,0.03,0.1,0.08,0.1,0.04,0.06,0.0,0.11
5035,Lakes  & Tanks,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,,1.5,7.48,1278,3,2.7,,17,350,4.5,,,,18,5,260,162,40,11.2,2.8,,285,86,215,17.01,70,92,,720,430,14,2.44,7.49,0.5,,1.1,,,0.02,0.03,0.1,0.08,0.1,0.06,0.4,0.0,0.03
5038,Lakes  & Tanks,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,,0.3,7.15,1709,6.4,3.7,,49,540,9.2,,,,38,5,320,245,97,17.36,6.16,,460,102,255,49.81,205,162,,1060,720,32,3.06,9.39,0.52,,0.38,,,0.02,0.03,0.1,0.08,0.1,0.05,0.46,0.0,0.74
5039,Lakes  & Tanks,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,,0.3,6.85,1558,10,5.7,,70,920,14,,,,45,5,280,225,134,16.8,8.4,,345,96,240,25.52,105,142,,978,660,38,1.42,4.36,0.54,,0.5,,,0.02,0.03,0.1,0.08,0.12,0.14,1.3,0.0,0.02
