Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
5110,River Krishna ,"River Krishna at Pulichintala Reservoir at Chinthalapalem (V&M), Suryapet (D)",Suryapet,6.6,7.89,862,2.2,10,0.17,4.1,39,1.8,,,,3,20,180,105,28,19,BDL,0.01,250,150,60,100,24,65,27,540,350,5,,0.1,0.5,3.2,0.32,23.3,0.66
4253,River Musi,"River Musi at Bapughat Sangam, Hyderabad",Hyderabad,0.3,7.18,1516,12,4.2,,11,540,6,,,,12.8,5,350,172,122,8.4,2.84,0.03,366,180,72,186,45.2,106,,920,,33,2.78,,0.62,,0.89,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.62,1440,14,4.6,,17,540,3.6,N.A,N.A,N.A,10.3,5,340,206,129,8.4,2.16,0.06,350,185,74,165,40.09,127,,878,,27,2.92,,0.6,,1.02,,
2339,River Musi,"River Musi at Nagole, Ranga Reddy",Shamshabad,0.3,7.2,1429,15,4.8,,14,540,4,,,,12.4,5,320,184,157,9.8,3.02,0.03,345,180,72,165,40.09,112,,856,,24,2.67,,0.5,,1.03,,
4659,River Musi,"River Musi - Outlet of Nalla Cheruvu, Peerajadiguda, Rangareddy",Yadadri Bhuvanagiri,0.3,7.31,1629,9,5.3,,24,920,16,,,,20.8,5,380,201,86,12.6,4.82,0.06,406,210,84,196,47.63,118,,992,,42,3.12,,0.61,,0.95,,
4660,River Musi,"River Musi at Peerajadiguda, Ranga Reddy",Suryapet,0.3,7.32,1484,6,4.9,,20,540,4,,,,18.6,5,365,174,59,11.2,1.8,0.02,380,195,78,185,44.95,104,,920,,38,2.75,,0.62,,1.06,,
1173,River Musi,"River Musi - D/s at Pratapasingaram , Shamshabad",Rangareddy,0.3,7.12,1488,8,4.2,,14,540,6,,,,17.2,5,380,176,82,7,1.28,0.01,375,180,72,195,47.38,108,,936,,40,2.48,,0.5,,0.86,,
4657,River Musi,"River Musi at Pillaipalli, Rangareddy",Rangareddy-I,1.6,7.3,1495,5.2,4,,15,430,3.7,,,,16.8,5,380,203,51,7,1.62,0.02,394,185,74,209,50.79,123,,896,,44,2.31,,0.66,,0.89,,
4254,River Musi,"River Musi at Rudravelly bridge,Yadadri",Yadadri Bhuvanagiri,6,7.44,1500,3.5,24,0.16,8.1,84,5.5,,,,5.8,52,420,182,46,45,BDL,0.01,505,285,114.14,220,53.42,117,48,975,600,12,,0.14,0.5,4,0.1,21.98,0.86
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.5,7.89,1578,4,23,0.15,9.1,94,6,,,,6.3,28,260,192,48,40,BDL,0.01,495,310,124.15,185,44.92,108,35,960,630,14,,0.15,0.5,8,0.14,15.94,0.6
