Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,5.8,7.68,1546,6,9,0.15,6.1,94,4.5,,,,18,10,224,166,49,8.96,0.4,0.01,366,185,74,181.07,44,22,54,940,573.4,10,,0.1,0.5,4,0.35,23.92,1.22
3082,River Musi,"River Musi at Solipet (Kasaniguda), Nalgonda",Suryapet,6.6,7.72,1272,3.5,9,0.1,5.5,63,3.6,,,,12,12,204,160,31,5.04,0.4,0.01,348,175,70,172.84,42,19,48,732,512.4,12,,0.08,0.5,4,0.24,22.71,1.12
5106,River Musi,"River Musi at Bheemaram Bridge, Bheemaram (V), Kethepally (M), Nalgonda (D)",Nalgonda,6.2,7.31,1437,3,3,0.16,Less than 1.8,33,Less than 1.8,,,,8,12,216,168,22,3.9,0.4,0.01,344,175,70,168.72,41,18,39,932,650,15,,0.09,0.5,5,0.25,19.4,0.91
5107,River Musi,"River Musi before confluence of River Krishna at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.7,7.25,901,2.5,4,0.1,Less than 1.8,41,Less than 1.8,,,,6,5,188,132,19,3.4,0.4,0.01,310,155,62,156.38,38,14,34,521,350,12,,0.06,0.5,4,0.29,18.84,0.84
1172,Lakes  & Tanks,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",Shamshabad,6,8.13,481,1.2,,,Less than 1.8,46,Less than 1.8,,,,2.6,5,130,74,8,1.5,0.4,0.03,140,85,34,55,13.37,42,,304,,10,0.2,,0.5,,0.34,,
1215,Lakes  & Tanks,"Thummala cheruvu, Nasampet (V&M), Warangal",Warangal Rural,6,7.28,313,1,,,8.2,170,Less than 1.8,,,,5.6,5,80,34,5,1.5,0.4,0.01,92,54,21.6,38,9.23,21,,200,,10,0.2,,0.5,,0.2,,
1780,Lakes  & Tanks,"Gandigudem Tank, Gandigudem(V),Ameenpur(M), Sangareddy(D)",Sangareddy,6.3,7.01,1708,5,11,0.2,8.1,130,4,,,,25,24,376,256,60,12,0.4,0.01,632,295,118,337.45,82,47,64,982,608.84,12,,0.12,0.5,19,0.3,17.4,1.1
2358,Lakes  & Tanks,"Mallapur Tank , Medchal Malkajgiri",Medchal Malkajgiri,0.3,7.84,2487,10,,,48,920,11,,,,32.6,5,695,431,108,6.72,1.7,0.06,716,425,170,291,70.71,276,,1566,,12,2.36,,0.5,,0.88,,
2347,Lakes  & Tanks,"Asani Kunta,Bollaram(V),Jinnaram(M), Sangareddy(D)",Sangareddy,0.3,6.87,5368,180,20,0.32,12,430,6.1,,,,242,48,784,528,720,128.8,17,0.07,1270,600,240,666.67,162,158,156,3210,2054.4,122,,0.2,0.5,82,0.82,19.73,1.9
1783,Lakes  & Tanks,"Kistareddypet Tank, Kistareddypet(V),Ameenpur(M),Sangareddy(D)",Sangareddy,6.3,7.26,1768,5,21,0.1,5.6,39,4.5,,,,12,28,332,192,55,9.52,0.4,0.01,516,245,98,271.6,66,38,56,1010,686.8,15,,0.14,0.5,17,0.25,18.35,1.07
2348,Lakes  & Tanks,"Khazipally Tank,Khazipally(V), Jinnaram(M), Sangareddy(D) Sangareddy",Sangareddy,5.3,7.28,1120,9,19,0.1,6.8,70,5.6,,,,14,36,264,126,80,14,0.4,0.01,385,200,80,185.19,45,17,35,622,384,10,,0.12,0.5,10,0.24,15.97,0.77
4243,Lakes  & Tanks,"Isnapur Tank,Pashamylaram(V), Patancheru (M), Sangareddy District",Sangareddy,5.2,7.19,2856,12,16,0.17,13,120,9.1,,,,22,32,456,268,92,16.24,0.4,0.01,690,327.5,131,362.14,88,41,83,1626,1121.94,16,,0.14,0.5,16,0.42,20.16,1.37
4302,Lakes  & Tanks,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",Sangareddy,5.6,7.53,1949,5,10,0.17,9.2,58,4,,,,20,24,256,180,60,10.64,0.4,0.01,424,210,84,213.99,52,31,51,1112,689.44,10,,0.16,0.5,12,0.38,20.05,1.07
4240,Lakes  & Tanks,"Muthangi Tank (V), Patancheru (M),Sangareddy district",Sangareddy,6.3,7.11,1142,2.8,9,0.14,5.5,46,3.7,,,,6,12,212,132,27,4.5,0.4,0.01,354,165,66,189.3,46,27,41,648,414.72,10,,0.07,0.5,8,0.45,19.54,0.94
4241,Lakes  & Tanks,"Chitkul Tank,Chitkul (V), Patancheru (M), Sangareddy District",Sangareddy,6.4,7.27,1458,3.6,10,0.16,6.8,63,4,,,,10,11,296,188,35,6.16,0.4,0.01,476,230,92,246.91,60,36,56,830,539.5,10,,0.11,0.5,7,0.36,19.93,1.11
4242,Lakes  & Tanks,"Lakadaram Cheruvu, Lakdaram (V), Patancheru (M),Sangareddy District.",Sangareddy,5.4,7.5,1114,6,10,0.19,9.3,70,6.1,,,,12,16,224,134,55,10,0.4,0.01,352,170,68,181.07,44,23,39,634,424.78,10,,0.09,0.5,7,0.32,18.96,0.9
4246,Lakes  & Tanks,"Pashamylaram Tank, Sangareddy",Sangareddy,Station code : 4243 & 4246 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes  & Tanks,"Himayathsagar lake, Shamshabad",RR-shamshabad,6.1,8.33,522,1,,,Less than 1.8,63,Less than 1.8,,,,3.8,15,140,61,8,1.5,0.4,0.04,152,90,36,62,15.07,36,,328,,10,0.2,,0.5,,0.4,,
3069,Lakes  & Tanks,"Shameerpet Tank, Shameerpet(V&M), Medchal- malkajigiri(D)",Medchal Malkajgiri,5.5,8.14,602,1.1,,,2,280,Less than 1.8,,,,6.2,5,160,96,12,1.5,0.4,0.03,172,105,42,67,16.28,69,,386,,10,0.2,,0.5,,0.42,,
3078,Lakes  & Tanks,"Pragathinagar cheruvu,Pragathinagar(V), Kukatpally, Medchal-malkajigiri(D)",Medchal Malkajgiri,0.3,7.68,1447,6,,,48,430,4,,,,10.4,5,395,172,60,4.48,0.67,0.02,416,260,104,156,37.91,108,,912,,14,2.72,,0.5,,0.62,,
