Station code,water_bodies,Station name,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
4229,Lakes  & Tanks,Neknampur Lake,,0.6,6.91,1360,6,2.18,,46,540,9.2,,,,32,5,280,179,60,14.56,6.16,,328,84,210,28.67,118,114,,856,560,28,3.46,1.44,0.5,,1.06,,,,
1780,Lakes  & Tanks,Gandigudem Tank,,5.3,7.65,2170,5.1,84,0.2,5.5,63,3.7,,,,10.1,20,480,350,58,6,0.4,BDL,830,180,450,92,380,120,148,1302,911.4,24,,0.75,0.5,18,0.32,27.51,2.24,,
2347,Lakes  & Tanks,Asani Kunta,,NIL,6.83,12300,274,144,0.5,9.2,110,5.6,,,,86,32,1968,2010,1824,90,59,0.2,3910.08,820,2050,452,1860.08,384,470,6765,4735.5,84,,1.5,0.5,94,0.24,20.3,3.28,,
1783,Lakes  & Tanks,Kistareddypet Tank,,5.2,7.26,1350,4.8,35,0.1,7.8,32,4,,,,9.4,20,230,275,50,4,0.4,BDL,409.61,98,245,40,164.61,84,134,864,604.8,21,,0.43,0.5,10,0.2,40.93,2.89,,
2348,Lakes  & Tanks,Khazipally Tank,,6.3,7.29,900,3.8,34,0.14,4.5,23,3.7,,,,3.4,12,184,126,40,4,0.4,BDL,292.3,84,210,20,82.3,32,44,504.0,352.8,9,,0.29,0.5,10,0.2,23.95,1.12,,
1215,Lakes  & Tanks,Madannapet Lake,,5.9,8.4,264,1.2,1.01,,Less than 1.8,49,Less than 1.8,,,,10,6,75,27,12,1.5,0.4,,85,20,50,8.5,35,17,,160,90,12,0.2,0.05,0.5,,0.98,,,,
3068,Lakes  & Tanks,Ramappa lake,,5.8,8.36,385,1.8,0.65,,Less than 1.8,39,Less than 1.8,,,,4,5,65,70,36,1.5,0.4,,80,18,45,8.5,35,18,,230,130,12,0.2,0.05,0.5,,0.66,,,,
1447,Lakes  & Tanks,Dharmasagar tank,,5.9,7.86,354,1,0.91,,Less than 1.8,40,Less than 1.8,,,,5,5,110,34,16,1.5,0.4,,150,36,90,14.58,60,14,,222,150,10,0.2,0.05,0.5,,0.78,,,,
2346,Lakes  & Tanks,Bhadrakali cheruv,lake emptied for claening process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,Lakes  & Tanks,"Waddepally tank, Kazipet",,5.4,6.66,559,1.2,1.23,,Less than 1.8,46,Less than 1.8,,,,6,5,120,78,22,1.5,0.4,,160,38,95,15.79,65,54,,352,240,12,0.96,0.21,0.5,,1.18,,,,
