Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.1,8.28,335,2,1.6,,0,100,,,,20,110,26,18,0,,120,24,14.58,14,18,200,163,16,0.06,0.16,2.4,0.39,24.01,0.71
2369,River Godavari,River Godavari at Burgampahad,5.2,8.27,390,3,0.2,,0,120,,,,25,120,21,19,0,,130,24,17.01,19,24.8,220,174,12,0.08,0.25,3.9,0.74,28.41,0.94
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",1.5,6.64,377,2,0.16,,NIL,20,,,,0,90,49,11,6,,135,32,13.37,29,20,230,181,4,0,0.2,10,0.22,22.65,0.75
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5.9,8.28,270,5,0.8,,0,20,,,,20,110,15,19,0,,115,24,13.37,1.72,14.4,158,122,12,4.37,0.2,2,1.7,20.93,0.58
1157,River Godavari,River Manjeera at Raipally,7.2,8.09,419,4,6.5,0.67,3,32,,,28,28,80,38,26,20,1.1,150,32,17,14,6,239,194,34,0.3,0.2,4,0.48,7.72,0.21
1781,River Godavari,Manjeera at Ganapathi sugars,6.8,7.58,505,3,10,0.6,5,65,,,36,28,72,70,24,9,1.1,181,38,21,18,20,289,235,25,0.43,0.28,6,0.58,18.61,0.64
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,7,7.64,1207,4,15,0.48,4,34,,,40,24,268,130,32,3,2,263,56,30,40,88,702,565,27,0.28,0.4,11,0.6,40.67,2.35
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.9,7.57,1375,4.8,14,0.52,6,54,,,55,32,270,142,38,4,1.1,340,80,34,62,96,802,645,199,0.4,0.52,11,0.82,36.97,2.26
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,3.2,8.28,460,4,0.9,,0,20,,,,40,115,45,19,0,,155,38.4,14.34,34,26,260,210,42,0,0.19,5.4,2.48,25.79,0.91
2373,River Godavari,Kunavaram at Sabari,6.2,7.33,120,1,1,,0,20,,,,0,40,8,6,0,,45,8.8,5.59,2,3.8,60,52,12,0.06,0.18,1.3,0.58,14.96,0.25
3080,River Godavari,U/s of Karakavagu at Paloncha,5.1,8.15,712,3,1.2,,0,120,,,,7,240,61,11,0,,184,30.4,26.24,8,71,390,315,30,0.03,0.32,1.6,0.98,45.16,2.27
3081,River Godavari,D/s of Karakavagu at Paloncha,4.3,8.08,466,3,2.1,,0,220,,,,4,160,34,24,0,,180,33.6,23.33,31,25,311,252,17,0.09,0.3,5.1,1.78,22.45,0.81
