Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4700,Lakes  & Tanks,"Large tank,/ Saroornagar, Rangareddy District.",RR-shamshabad,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,2.9,7.41,1146,2,4.6,N.A,33,540,4,,,,11,5,305,142,32,4.48,1.64,0.03,314,182.0,72.8,132,32.08,58,,732,,16,2.34,N.A,0.5,,1.02,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.1
4702,Lakes  & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,4.2,6.97,1659,10,15,0.02,110,920,21,,,,35,20,492,113,104,53,31,0.15,396,256,102,140,34,55,145,940,579,22,,0.3,0.5,16,0.2,43,3.2,,0.02,0.03,0.14,0.06,0.1,0.01,
4703,Lakes  & Tanks,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,0.3,8.31,2016,8,7.2,N.A,26,540,9.1,,,,12,15,520,254,79,6.72,1.92,0.24,532,340,136,192,46.66,152,,1248,,15,3,N.A,0.5,,0.96,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.08
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,0.3,7.34,1060,10,4.6,N.A,22,350,12,,,,21,5,295,132,135,3.36,0.64,0.04,306,186,74.4,120,29.16,78,,668,,56,5.26,N.A,0.5,,0.86,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.13
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,0.3,7.86,1907,6,8.9,N.A,41,  ,9.1,,,,20,5,505,235,79,8.96,3.19,0.15,520,328,131.2,192,46.66,162,,1164,,42,2.68,N.A,0.5,,0.96,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06
5029,Lakes  & Tanks,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,Lake sample Not Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes  & Tanks,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,0.3,7.84,1339,8,1.7,N.A,25,540,Less than 1.8,,,,30,5,300,172,138,5.6,0.91,0.03,310,192.0,76.8,118,28.67,106,,816,,52,2.64,N.A,0.5,,0.89,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.15
5031,Lakes  & Tanks,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,Lake sample Not Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes  & Tanks,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,0.3,8.09,1588,6,3.38,N.A,33,920,2,,,,8,5,400,191,99,4.48,1.66,0.12,410,248,99.2,162,39.37,118,,1002,,14,2.84,N.A,0.5,,0.98,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.1
