Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4240,Lakes & Tanks ,Muthangi Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Lakes & Tanks ,"Chitkul Tank,",5.8,7.12,1238,3,11,0.35,Less than 2,33,,,,21,28,176,128,25,4.72,2.98,0.22,238.4,46,30,15,48,704,529,15,Not analysed,0.32,0.02,7,0.22,29.53,1.35
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5.2,6.99,1191,3.7,9,0.43,Less than 2,39,,,,13,12,158,116,32,6.43,4.05,0.22,211.94,42,26,12,44,700,496,21,Not analysed,0.26,0.03,5,0.26,30.33,1.31
4243,Lakes & Tanks ,Isnapur Tank,4.7,7.15,4200,6,23,0.32,Less than 2,94,,,,27,36,448,396,49,9.26,5.83,0.05,631.09,134,72,47,156,2531,1891,47,Not analysed,0.33,0.06,24,0.32,33.75,2.69
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,4.4,7.9,420,4,5,BDL,8,80,,,,10,BDL,152,34,29,bdl,BDL,BDL,136,21,20,15,39,311,207,25,BDL,-,BDL,7,0.2,36.93,1.45
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",4.1,7.37,594,4,0.79,Not Analysed,Less than 2,32,,,,6,Less than 1,160,80,18,Less than 1,Not Analysed,,180,38,20.66,25,54,380,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,0.28,39.0,1.74
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Less than  0.1,7.18,1580,14,14.8,Not Analysed,22,350,,,,18,Less than 1,310,248,110,2,Not Analysed,,355,72,42.52,96,186,940,Not aNot analysedlysed,6,0.42,Not analysed,0.28,4,0.94,52.74,4.28
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Less than  0.1,7.85,1492,28,5.5,Not Analysed,20,350,,,,12,Less than 1,295,242,102,2.8,Not Analysed,,360,64,48.6,82,166,940,Not aNot analysedlysed,16,0.28,Not analysed,0.12,4,0.94,50,3.8
1788,Lakes & Tanks ,Saroornagar Lake,Less than  0.1,7.23,1360,34,7.68,Not Analysed,32,350,,,,14,Less than 1,410,168,146,4.6,Not Analysed,,445,88,54.67,64,122,860,Not aNot analysedlysed,12,1.96,Not analysed,0.3,6,0.86,36.8,2.51
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",Less than  0.1,8.19,1297,24,12,Not Analysed,20,320,,,,10,10,295,162,118,4.6,Not Analysed,,385,60,57.1,98,110,820,Not aNot analysedlysed,14,0.86,Not analysed,0.38,4,0.68,38,2.4
1464,Lakes & Tanks ,Bibinagar Tank,7.3,6.72,675,2.9,7,0.37,3,58,,,,8,8,96,68,21,4.91,3.1,0.01,135.8,28,16,16,27,272,174,21,Not analysed,0.29,Less than 0.01,4,0.32,29.28,1.0
3068,Lakes & Tanks ,Ramappa lake,6.24,8.16,249,2,2,Not Analysed,Less than 2,18,,,,4,10,80,22,6,Less than 1,Not Analysed,,86,20,8.75,11,16,150,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,20,0.6
1447,Lakes & Tanks ,Dharmasagar tank,5.8,7.67,380,3,0.82,Not Analysed,Less than 2,21,,,,6,Less than 1,135,32,10,Less than 1,Not Analysed,,155,34,17.01,16,18,232,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,3,0.48,19.68,0.63
2346,Lakes & Tanks ,Bhadrakali tank,6.1,7.42,440,3,0.4,Not Analysed,Less than 2,17,,,,18,Less than 1,160,38,18,Less than 1,Not Analysed,,170,40,17.01,10,23,256,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,22.38,0.76
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",4.6,7.83,594,4,0.36,Not Analysed,Less than 2,24,,,,6,Less than 1,170,75,22,Less than 1,Not Analysed,,190,46,18.22,26,52,376,Not aNot analysedlysed,6,0.18,Not analysed,Less than 0.01,2,0.52,36.88,1.64
3085,Lakes & Tanks ,Chinnawaddepally tank,Less than  0.1,7.42,1780,30,3.1,Not Analysed,26,350,,,,24,Less than 1,460,242,159,6.2,Not Analysed,,495,106,55.89,78,178,1130,Not aNot analysedlysed,24,0.8,Not analysed,0.32,4,0.86,43.48,3.47
2343,Lakes & Tanks ,Premajipet tank,Less than  0.1,8.07,3600,42,12.38,Not Analysed,32,520,,,,14,Less than 1,420,740,238,8.2,Not Analysed,,620,112,82.62,292,528,2460,Not aNot analysedlysed,36,3.2,Not analysed,0.36,8,0.92,64.4,9.19
2345,Lakes & Tanks ,Sai Cheruvu,Less than  0.1,7.18,7230,145,9.86,,32,520,,,,24,Less than 1,765,1543,447,9.2,Not Analysed,,920,180,114.21,652,1204,4560,Not aNot analysedlysed,30,0.92,Not analysed,0.32,60,0.68,72.3,17.2
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",2.6,7.2,896,6,2,Not Analysed,11,238,,,,6,Less than 1,250,102,34,Less than 1,Not Analysed,,295,56,37.66,72,78,570,Not aNot analysedlysed,18,0.32,Not analysed,Less than 0.01,4,0.42,35.95,1.97
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",2.3,7.01,1020,8,2.6,Not Analysed,11,332,,,,10,Less than 1,265,132,60,Less than 1,Not Analysed,,305,80.8,25.03,58,95,648,Not aNot analysedlysed,10,0.42,Not analysed,Less than 0.01,3,0.6,39.97,2.36
4228,Lakes & Tanks ,"Ibrahim Cheruvu, Rajendra Nagar",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,6.9,7.08,1293,2,6,0.45,Less than 2,41,,,,12,12,138,121,12,2.27,1.43,0.01,203.71,42,24,17,45,721,541,21,Not analysed,0.42,0.05,6,0.29,31.5,1.37
4231,Lakes & Tanks ,"Rayam Cheruvu,",7.2,7.14,404,2,3,0.41,Less than 2,34,,,,15,4,54,44,16,3.02,1.91,0.01,81.13,16,10,4,13,244,169,24,Not analysed,0.23,0.03,4,0.23,24.56,0.63
4232,Lakes & Tanks ,"Komati Cheruvu,",7,7.25,738,2,9,0.39,Less than 2,22,,,,14,16,120,104,14,2.65,1.67,0.17,162.26,32,20,10,45,425,328,15,Not analysed,0.28,Less than 0.01,4,0.27,36.74,1.53
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),Less than  0.1,8.24,2286,28,4.82,Not Analysed,34,350,,,,20,Less than 1,420,382,141,4.6,Not Analysed,,450,88,55.89,166,310,1440,Not aNot analysedlysed,32,0.74,Not analysed,0.38,5,0.68,59.47,6.33
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",5.2,6.91,5150,6.3,41,0.32,Less than 2,84,,,,29,28,589,574,40,9.83,6.19,0.28,804.84,164,96,173,279,2981,2231,37,Not analysed,0.29,0.02,72,0.36,40.2,4.26
