Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron
2359,Lakes & Tanks ,Pedda Cheruvu (Nacharam cheruvu),0.9,7.25,1600,26,15,,33,430,,,,28,Less than 1,389,181,114,4.8,8,0.42,440,115,37,95,215,912,,22,0.9,,Less than 0.01,15,0.8,50,4.4,,ND,0.03,0.17,0.05,ND,ND,
2342,Lakes & Tanks ,Noor Md. Kunta,Less than 0.1,7.7,2534,40,14,,70,480,,,,30,Less than 1,420,346,202,3.9,5,0.09,448,125,33,210,210,1495,,60,2.2,,Less than 0.01,12,0.7,50,4.3,,ND,0.02,0.15,0.06,ND,ND,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",4.5,7.5,1618,10,12,,8,79,,,,8,Less than 1,360,387,52,2.2,Less than 1,Less than 0.01,544,94,75,26,245,928,,5,1.5,,Less than 0.01,12,0.91,49,4.6,,ND,0.03,0.18,0.07,ND,ND,
3074,Lakes & Tanks ,Banjara Lake,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda cheruvu,"Letter was addressed to CPCB dated:26.10.2018 to relocate with Pedda Cheruvu, Gajularamaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,5.5,7.21,2083,4.9,8,0.35,Less than 2,27,,,,11,24,282,220,72,10.8,,,404,74,52,38,79,1215,879,28,,0.39,0.02,15,0.23,29,1.7,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14
4237,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Less than 0.1,7.22,1359,18,6,,26,280,,,,36,Less than 1,310,165,44,3.2,8,0.08,352,93,29,87,154,775,,22,3.1,,Less than 0.01,8,0.6,48,3.6,,ND,0.03,0.12,0.04,ND,ND,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",2.9,7.1,2304,18,8,,33,380,,,,35,Less than 1,563,327,88,4.4,Less than 1,Less than 0.01,740,186,67,93,320,1405,,38,1.2,,Less than 0.01,14,0.5,48,5.1,,ND,0.03,0.2,0.06,ND,ND,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",2.8,7.2,1591,14,6,,13,240,,,,28,Less than 1,292,310,74,2.3,8,0.08,504,107,57,84,65,939,,8,0.12,,Less than 0.01,21,0.1,21,1.3,,ND,0.03,0.13,0.04,ND,ND,
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",2.5,7.6,1119,12,6,,13,150,,,,12,Less than 1,320,159,40,3.5,3,0.07,308,90,20,86,187,604,,12,2,,Less than 0.01,3.5,0.9,57,4.6,,ND,0.03,0.17,0.04,ND,ND,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Less than 0.1,7.43,1071,20,5,,25,350,,,,27,Less than 1,352,248,112,2.5,4,0.06,328,59,44,95,83,704,,21,Less than 0.1,,Less than 0.01,17,0.2,34,2,,,,,,,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",2.8,7.5,1506,14,9,,70,430,,,,18,Less than 1,362,159,115,2,5,0.1,432,110,38,99,55,813,,32,0.7,,Less than 0.01,22,0.1,21,1.1,,ND,0.03,0.01,0.04,ND,ND,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",2.1,7.9,1635,12,14,,33,350,,,,35,Less than  1,310,252,104,3.5,4,0.1,624,160,54,154,60,1099,,38,1.2,,Less than 0.01,19,Less than 0.01,17,1,,ND,0.03,0.13,0.04,ND,ND,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Less than 0.1,7.24,1468,14,11,,70,430,,,,28,Less than 1,453,157,160,3,5,0.05,416,110,34,101,197,837,,12,0.9,,Less than 0.01,18,0.2,49,4.2,,ND,ND,0.24,0.04,ND,ND,
4679,Lakes & Tanks ,HUDA Park Lake,Less than 0.1,7.14,2008,25,5,,32,430,,,,18,Less than 1,444,305,80,3.5,3,0.14,652,150,67,125,248,1183,,23,1.9,,Less than 0.01,9,0.7,45,4.2,,ND,0.03,0.21,0.04,ND,ND,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",5.2,8.3,581,8,1,,13,40,,,,10.3,Less than 1,230,83,35,1,Less than 1,Less than 0.01,415,86,49,18,62.89,314,,10,0.17,,Less than 0.01,5,0.8,24,1.3,,BDL,BDL,BDL,BDL,BDL,0.29,
4684,Lakes & Tanks ,Campus Lake Icrisat,6.2,6.88,647,3,4,0.37,4,240,,,,9,8,116,72,32,4.4,,,176,34,22,21,19,362,254,27,,0.31,Less than 0.01,4,Less than 0.01,19,1.6,BDL,BDL,BDL,BDL,0.05,BDL,BDL,0.13
4685,Lakes & Tanks ,Surisigal Lake Icrisat,6.6,6.84,683,4.3,4,0.39,3,210,,,,12,12,156,86,41,4.5,,,216,40,28,24,27,383,262,31,,0.34,Less than 0.01,4,Less than 0.01,21,0.8,BDL,BDL,BDL,BDL,0.04,BDL,BDL,BDL
4686,Lakes & Tanks ,Icrisat Lake,6.8,6.73,766,4.8,11,0.31,4,150,,,,17,20,172,84,54,8.6,,,224.43,47,26,26,29,437,309,33,,0.32,Less than 0.01,6,Less than 0.01,21,0.8,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.27
